Survey,Class,Class_descriptions
'MO_03_LMR_20230922_CS_298_0_298_6_SORT_A.png',1,
'MO_03_LMR_20231016_CS_298_0_299_0_SORT_A.png',1,
'MO_03_LMR_20231101_CS_284_0_285_0_SORT_A.png',1,
'MO_03_LMR_20231101_CS_286_5_287_0_SORT_A.png',1,
'MO_03_LMR_20240412_CS_286_2_286_6_SORT_A.png',1,
'MO_03_LMR_20240422_CS_289_5_290_5_SORT_A.png',1,
'MO_03_LMR_20240620_CS_280_1_281_0_SORT_A.png',1,
'MO_03_LMR_20240806_CS_213_7_214_8_SORT_A.png',1,
'MO_03_LMR_20240806_CS_216_8_217_8_SORT_A.png',3,
'MO_03_LMR_20240807_CS_286_0_286_8_SORT_A.png',1,
'MO_03_LMR_20240807_CS_289_5_290_5_SORT_A.png',3,
'MO_03_LMR_20240808_CS_301_2_302_2_SORT_A.png',3,
'MO_03_LMR_20240809_CS_297_0_298_0_SORT_A.png',1,
'MO_03_LMR_20240813_CS_285_8_286_8_SORT_A.png',1,
'MO_03_LMR_20240813_CS_289_5_290_5_SORT_A.png',3,
'MO_03_LMR_20240823_CS_281_5_282_5_SORT_A.png',3,
'MO_03_LMR_20240823_CS_297_0_298_0_SORT_A.png',1,
'MO_03_LMR_20240823_CS_298_0_299_0_SORT_A.png',3,
'MO_03_LMR_20240912_CS_270_5_271_0_SORT_A.png',1,
'MO_03_LMR_20240918_CS_289_0_289_5_SORT_A.png',1,
'MO_03_LMR_20240918_CS_289_5_289_0_SORT_A.png',1,
'MO_03_LMR_20240919_CS_289_5_290_5_SORT_A.png',2,
'MO_03_LMR_20241007_CS_207_0_208_0_SORT_A.png',3,
'MO_03_LMR_20241009_CS_264_0_265_0_SORT_A.png',1,
'MO_03_LMR_20241016_CS_206_7_207_7_SORT_A.png',1,
'MO_03_LMR_20241025_CS_211_0_212_0_SORT_A.png',1,
'MO_03_LMR_20250409_CS_290_0_291_0_SORT_A.png',1,
'MO_03_LMR_20250429_CS_289_0_290_0_SORT_A.png',1,
'MO_03_LMR_20250430_CS_290_0_291_0_SORT_A.png',1,
'MO_04_LMR_20230623_CS_317_5_318_5_SORT_A.png',2,
'MO_04_LMR_20230720_CS_319_5_320_0_SORT_A.png',1,
'MO_04_LMR_20230825_CS_317_9_318_5_SORT_A.png',2,
'MO_04_LMR_20230828_CS_319_4_320_1_SORT_A.png',1,
'MO_04_LMR_20231107_CS_319_5_320_1_SORT_A.png',1,
'MO_04_LMR_20231113_CS_319_3_320_0_SORT_A.png',1,
'MO_04_LMR_20240417_CS_316_4_317_2_SORT_A.png',1,
'MO_04_LMR_20240417_CS_319_0_320_0_SORT_A.png',1,
'MO_04_LMR_20240808_CS_324_0_325_0_SORT_A.png',1,
'MO_04_LMR_20240813_CS_301_2_302_2_SORT_A.png',3,
'MO_04_LMR_20240814_CS_317_0_318_0_SORT_A.png',2,
'MO_04_LMR_20240814_CS_324_0_325_0_SORT_A.png',1,
'MO_04_LMR_20240816_CS_316_4_317_0_SORT_A.png',3,
