Survey,Class,Class_descriptions
'MO_01_LMR_20240402_CS_33_0_33_8_SORT_A.png',1,
'MO_01_LMR_20240409_CS_48_0_48_5_SORT_A.png',1,
'MO_01_LMR_20240409_CS_60_0_61_0_SORT_A.png',1,
'MO_01_LMR_20240410_CS_41_0_41_3_SORT_A.png',3,
'MO_01_LMR_20240410_CS_42_0_42_3_SORT_A.png',2,
'MO_01_LMR_20240410_CS_56_0_57_0_SORT_A.png',3,
'MO_01_LMR_20240513_CS_42_5_44_0_SORT_A.png',1,
'MO_01_LMR_20240806_CS_55_0_57_0_SORT_A.png',2,
'MO_01_LMR_20240806_CS_60_0_61_0_SORT_A.png',1,
'MO_01_LMR_20240807_CS_91_6_93_0_SORT_A.png',1,
'MO_01_LMR_20240820_CS_48_5_48_0_SORT_A.png',1,
'MO_01_LMR_20240916_CS_59_0_60_0_SORT_A.png',3,
'MO_01_LMR_20240917_CS_48_0_48_7_SORT_A.png',3,
'MO_01_LMR_20240917_CS_57_0_58_0_SORT_A.png',3,
'MO_01_LMR_20240924_CS_33_3_33_8_SORT_A.png',2,
'MO_01_LMR_20240924_CS_41_0_41_3_SORT_A.png',1,
'MO_01_LMR_20240924_CS_42_0_42_3_SORT_A.png',3,
'MO_01_LMR_20240924_CS_42_5_44_5_SORT_A.png',1,
'MO_01_LMR_20241001_CS_19_1_19_7_SORT_A.png',1,
'MO_01_LMR_20241003_CS_89_7_92_5_SORT_A.png',1,
'MO_01_LMR_20241007_CS_97_0_98_0_SORT_A.png',2,
'MO_01_LMR_20241010_CS_22_9_24_0_SORT_A.png',1,
'MO_01_LMR_20241010_CS_35_2_35_7_SORT_A.png',1,
'MO_01_LMR_20241011_CS_41_0_41_3_SORT_A.png',1,
'MO_01_LMR_20241011_CS_60_0_61_0_SORT_A.png',3,
'MO_01_LMR_20241017_CS_68_0_69_0_SORT_A.png',2,
'MO_01_LMR_20241018_CS_66_0_67_0_SORT_A.png',3,
'MO_01_LMR_20241031_CS_22_8_23_8_SORT_A.png',1,
'MO_01_LMR_20250331_CS_56_0_57_0_SORT_A.png',2,
'MO_02_LMR_20210121_CS_132_5_133_5_SORT_A.png',1,
'MO_02_LMR_20210127_CS_186_5_187_2_SORT_A.png',1,
'MO_02_LMR_20210329_CS_177_7_179_0_SORT_A.png',3,
'MO_02_LMR_20210414_CS_186_5_187_2_SORT_A.png',3,
'MO_02_LMR_20210510_CS_104_5_105_5_SORT_A.png',1,
'MO_02_LMR_20210511_CS_185_1_186_0_SORT_A.png',1,
'MO_02_LMR_20210512_CS_142_3_142_8_SORT_A.png',1,
'MO_02_LMR_20210512_CS_186_5_187_0_SORT_A.png',1,
'MO_02_LMR_20210524_CS_185_0_187_2_SORT_A.png',1,
'MO_02_LMR_20210601_CS_132_0_133_5_SORT_A.png',1,
'MO_02_LMR_20210608_CS_104_5_105_5_SORT_A.png',1,
'MO_02_LMR_20210621_CS_185_0_186_0_SORT_A.png',3,
'MO_02_LMR_20210622_CS_104_5_105_5_SORT_A.png',1,
'MO_02_LMR_20210623_CS_132_5_133_5_SORT_A.png',1,
'MO_02_LMR_20210624_CS_185_0_186_0_SORT_A.png',1,
'MO_02_LMR_20210708_CS_132_0_133_5_SORT_A.png',1,
'MO_02_LMR_20210714_CS_178_1_179_0_SORT_A.png',1,
'MO_02_LMR_20210727_CS_178_0_179_0_SORT_A.png',3,
'MO_02_LMR_20210728_CS_185_0_186_0_SORT_A.png',1,
'MO_02_LMR_20210810_CS_104_5_105_5_SORT_A.png',1,
'MO_02_LMR_20210811_CS_130_5_131_0_SORT_A.png',3,
'MO_02_LMR_20210812_CS_132_5_133_5_SORT_A.png',3,
'MO_02_LMR_20210819_CS_130_0_131_0_SORT_A.png',3,
'MO_02_LMR_20210819_CS_132_5_133_3_SORT_A.png',1,
'MO_02_LMR_20210824_CS_132_5_133_5_SORT_A.png',1,
'MO_02_LMR_20210824_CS_184_5_185_5_SORT_A.png',1,
'MO_02_LMR_20210827_CS_104_5_105_5_SORT_A.png',1,
'MO_02_LMR_20210830_CS_178_0_179_0_SORT_A.png',1,
'MO_02_LMR_20210831_CS_130_0_131_0_SORT_A.png',3,
'MO_02_LMR_20210831_CS_141_7_142_5_SORT_A.png',3,
'MO_02_LMR_20210831_CS_184_5_185_5_SORT_A.png',1,
'MO_02_LMR_20210903_CS_184_5_185_5_SORT_A.png',1,
'MO_02_LMR_20210907_CS_183_3_184_3_SORT_A.png',1,
'MO_02_LMR_20210913_CS_184_5_185_5_SORT_A.png',1,
'MO_02_LMR_20210920_CS_184_9_185_3_SORT_A.png',1,
'MO_02_LMR_20210921_CS_104_5_105_5_SORT_A.png',1,
'MO_02_LMR_20210922_CS_184_5_185_5_SORT_A.png',1,
'MO_02_LMR_20210924_CS_178_0_178_8_SORT_A.png',1,
'MO_02_LMR_20210929_CS_184_5_185_5_SORT_A.png',1,
'MO_02_LMR_20211001_CS_177_7_179_0_SORT_A.png',1,
'MO_02_LMR_20211005_CS_104_5_105_5_SORT_A.png',1,
'MO_02_LMR_20211005_CS_184_5_185_5_SORT_A.png',1,
'MO_02_LMR_20211013_CS_177_7_179_0_SORT_A.png',1,
'MO_02_LMR_20211014_CS_104_5_105_5_SORT_A.png',3,
'MO_02_LMR_20211018_CS_177_7_179_0_SORT_A.png',1,
'MO_02_LMR_20211019_CS_135_0_137_0_SORT_A.png',1,
'MO_02_LMR_20211021_CS_130_0_131_0_SORT_A.png',1,
'MO_02_LMR_20211021_CS_132_5_133_5_SORT_A.png',3,
'MO_02_LMR_20220328_CS_122_4_123_2_SORT_A.png',1,
'MO_02_LMR_20220405_CS_132_5_133_5_SORT_A.png',1,
'MO_02_LMR_20220405_CS_143_0_144_0_SORT_A.png',3,
'MO_02_LMR_20220407_CS_104_5_105_5_SORT_A.png',1,
'MO_02_LMR_20220414_CS_132_5_133_5_SORT_A.png',1,
'MO_02_LMR_20220418_CS_135_0_136_0_SORT_A.png',1,
'MO_02_LMR_20220425_CS_184_5_185_5_SORT_A.png',1,
'MO_02_LMR_20220505_CS_122_4_123_2_SORT_A.png',1,
'MO_02_LMR_20220505_CS_177_8_178_8_SORT_A.png',1,
'MO_02_LMR_20220625_CS_130_0_131_0_SORT_A.png',1,
'MO_02_LMR_20220625_CS_132_5_133_6_SORT_A.png',1,
'MO_02_LMR_20220625_CS_135_0_136_0_SORT_A.png',1,
'MO_02_LMR_20220719_CS_184_5_185_5_SORT_A.png',1,
'MO_02_LMR_20220730_CS_130_0_131_0_SORT_A.png',1,
'MO_02_LMR_20220730_CS_132_5_133_5_SORT_A.png',1,
'MO_02_LMR_20220730_CS_135_0_136_0_SORT_A.png',1,
'MO_02_LMR_20220803_CS_104_5_105_5_SORT_A.png',1,
'MO_02_LMR_20220812_CS_108_4_108_8_SORT_A.png',2,
'MO_02_LMR_20220812_CS_110_5_110_7_SORT_A.png',1,
'MO_02_LMR_20220919_CS_108_1_108_9_SORT_A.png',1,
'MO_02_LMR_20220921_CS_141_5_142_5_SORT_A.png',2,
'MO_02_LMR_20220922_CS_166_0_167_0_SORT_A.png',1,
'MO_02_LMR_20220922_CS_177_8_178_8_SORT_A.png',1,
'MO_02_LMR_20220924_CS_108_2_108_9_SORT_A.png',1,
'MO_02_LMR_20220924_CS_113_8_114_8_SORT_A.png',2,
'MO_02_LMR_20220929_CS_104_5_105_5_SORT_A.png',1,
'MO_02_LMR_20220929_CS_108_2_108_9_SORT_A.png',1,
'MO_02_LMR_20221026_CS_132_5_133_5_SORT_A.png',1,
'MO_02_LMR_20221026_CS_143_0_144_0_SORT_A.png',1,
'MO_02_LMR_20221104_CS_113_8_114_6_SORT_A.png',3,
'MO_02_LMR_20221108_CS_132_5_133_5_SORT_A.png',1,
'MO_02_LMR_20221115_CS_104_5_105_5_SORT_A.png',1,
'MO_02_LMR_20230329_CS_177_8_178_8_SORT_A.png',1,
'MO_02_LMR_20230329_CS_185_2_186_0_SORT_A.png',1,
'MO_02_LMR_20230330_CS_132_5_133_5_SORT_A.png',1,
'MO_02_LMR_20230406_CS_128_5_129_5_SORT_A.png',2,
'MO_02_LMR_20230417_CS_122_3_123_3_SORT_A.png',1,
'MO_02_LMR_20230417_CS_130_0_131_0_SORT_A.png',1,
'MO_02_LMR_20230419_CS_143_0_144_0_SORT_A.png',1,
'MO_02_LMR_20230510_CS_161_8_162_4_SORT_A.png',1,
'MO_02_LMR_20230524_CS_161_8_162_4_SORT_A.png',1,
'MO_02_LMR_20230525_CS_107_0_108_0_SORT_A.png',3,
'MO_02_LMR_20230601_CS_182_5_183_5_SORT_A.png',1,
'MO_02_LMR_20230606_CS_147_5_148_5_SORT_A.png',1,
'MO_02_LMR_20230607_CS_104_5_106_6_SORT_A.png',1,
'MO_02_LMR_20230607_CS_167_0_167_9_SORT_A.png',1,
'MO_02_LMR_20230608_CS_107_0_108_9_SORT_A.png',3,
'MO_02_LMR_20230612_CS_110_0_110_7_SORT_A.png',1,
'MO_02_LMR_20230613_CS_113_8_114_6_SORT_A.png',1,
'MO_02_LMR_20230613_CS_122_4_123_3_SORT_A.png',1,
'MO_02_LMR_20230614_CS_130_0_131_0_SORT_A.png',1,
'MO_02_LMR_20230614_CS_132_5_133_5_SORT_A.png',1,
'MO_02_LMR_20230629_CS_182_5_183_5_SORT_A.png',1,
'MO_02_LMR_20230630_CS_108_5_109_5_SORT_A.png',1,
'MO_02_LMR_20230713_CS_192_0_192_5_SORT_A.png',1,
'MO_02_LMR_20230815_CS_174_3_175_5_SORT_A.png',1,
'MO_02_LMR_20230816_CS_167_0_167_9_SORT_A.png',1,
'MO_02_LMR_20230817_CS_161_0_161_5_SORT_A.png',1,
'MO_02_LMR_20230817_CS_166_0_166_5_SORT_A.png',1,
'MO_02_LMR_20230818_CS_113_8_114_6_SORT_A.png',1,
'MO_02_LMR_20230822_CS_108_4_108_8_SORT_A.png',2,
'MO_02_LMR_20230831_CS_108_4_108_8_SORT_A.png',2,
'MO_02_LMR_20230907_CS_108_4_108_8_SORT_A.png',2,
'MO_02_LMR_20230907_CS_110_0_110_7_SORT_A.png',1,
'MO_02_LMR_20230908_CS_132_5_133_2_SORT_A.png',1,
'MO_02_LMR_20230908_CS_139_7_140_0_SORT_A.png',3,
'MO_02_LMR_20230921_CS_104_8_106_0_SORT_A.png',2,
'MO_02_LMR_20231005_CS_108_4_108_8_SORT_A.png',1,
'MO_02_LMR_20231011_CS_108_4_108_8_SORT_A.png',1,
'MO_02_LMR_20231017_CS_104_0_105_0_SORT_A.png',2,
'MO_02_LMR_20231018_CS_105_0_106_0_SORT_A.png',2,
'MO_02_LMR_20231018_CS_106_0_107_0_SORT_A.png',2,
'MO_02_LMR_20231018_CS_107_0_108_0_SORT_A.png',2,
'MO_02_LMR_20231018_CS_108_0_109_0_SORT_A.png',1,
'MO_02_LMR_20231018_CS_109_0_110_0_SORT_A.png',1,
'MO_02_LMR_20231019_CS_122_4_123_2_SORT_A.png',1,
'MO_02_LMR_20231019_CS_130_0_131_0_SORT_A.png',1,
'MO_02_LMR_20231023_CS_110_0_111_0_SORT_A.png',1,
'MO_02_LMR_20231025_CS_113_8_114_6_SORT_A.png',1,
'MO_02_LMR_20231025_CS_161_8_162_4_SORT_A.png',1,
'MO_02_LMR_20231025_CS_166_0_167_0_SORT_A.png',1,
'MO_02_LMR_20231027_CS_180_5_181_5_SORT_A.png',1,
'MO_02_LMR_20231031_CS_169_0_169_5_SORT_A.png',1,
'MO_02_LMR_20231031_CS_177_8_178_8_SORT_A.png',1,
'MO_02_LMR_20231101_CS_104_0_105_0_SORT_A.png',2,
'MO_02_LMR_20231101_CS_105_0_106_0_SORT_A.png',3,
'MO_02_LMR_20231101_CS_106_0_107_0_SORT_A.png',3,
'MO_02_LMR_20231101_CS_107_0_108_0_SORT_A.png',3,
'MO_02_LMR_20231102_CS_130_0_131_0_SORT_A.png',1,
'MO_02_LMR_20231102_CS_132_5_133_5_SORT_A.png',1,
'MO_02_LMR_20231120_CS_165_9_167_1_SORT_A.png',1,
'MO_02_LMR_20240401_CS_108_0_109_0_SORT_A.png',1,
'MO_02_LMR_20240402_CS_107_0_108_0_SORT_A.png',1,
