X Y Z
1518804.49 14260603.19 8.01
1518803.41 14260596.17 8.23
1518808.59 14260607.59 8.23
1518794.32 14260594.14 8.76
1518802.19 14260589.97 8.92
1518792.81 14260585.25 8.92
1518790.42 14260574.45 9.02
1518797.17 14260581.25 9.06
1518805.38 14260574.42 9.09
1518803.44 14260583.71 9.15
1518796.22 14260575.50 9.28
1518803.74 14260565.17 9.35
1518806.16 14260558.35 9.55
1518806.43 14260530.36 9.61
1518798.03 14260568.35 9.68
1518799.47 14260561.40 9.74
1518796.52 14260547.78 9.84
1518792.45 14260564.02 9.88
1518793.76 14260557.89 9.91
1518800.52 14260551.85 9.94
1518805.21 14260547.91 10.01
1518807.34 14260542.27 10.01
1518795.07 14260552.93 10.04
1518800.91 14260542.20 10.14
1518830.67 14260622.45 7.15
1518824.31 14260621.86 7.41
1518830.93 14260615.37 7.48
1518820.37 14260618.29 7.58
1518825.95 14260613.00 7.74
1518811.97 14260614.41 8.14
1518814.89 14260619.11 8.17
1518825.91 14260607.07 8.20
1518828.97 14260602.70 8.33
1518814.23 14260597.62 8.33
1518820.24 14260609.03 8.37
1518812.17 14260592.47 8.43
1518832.71 14260599.36 8.50
1518815.25 14260605.16 8.66
1518818.93 14260590.07 8.69
1518826.31 14260598.14 8.73
1518823.85 14260588.36 8.76
1518820.89 14260596.67 8.96
1518827.39 14260581.61 8.99
1518834.64 14260589.32 9.09
1518814.56 14260585.22 9.09
1518810.43 14260568.19 9.12
1518832.12 14260576.85 9.25
1518833.46 14260583.87 9.28
1518811.71 14260563.10 9.32
1518833.10 14260516.68 9.38
1518834.08 14260521.93 9.48
1518811.91 14260555.10 9.55
1518825.72 14260510.81 9.61
1518819.02 14260578.52 9.61
1518819.45 14260523.80 9.65
1518812.36 14260524.22 9.65
1518826.31 14260523.73 9.68
1518823.65 14260573.50 9.71
1518831.13 14260504.74 9.78
1518819.84 14260529.57 9.78
1518820.34 14260515.86 9.81
1518827.29 14260569.99 9.84
1518813.35 14260574.82 9.84
1518817.15 14260546.86 9.88
1518815.05 14260533.74 9.88
1518818.79 14260552.54 9.91
1518817.25 14260570.16 9.97
1518819.09 14260542.01 10.01
1518827.72 14260534.03 10.01
1518827.62 14260539.58 10.07
1518826.14 14260546.08 10.07
1518831.59 14260528.42 10.07
1518819.75 14260564.55 10.20
1518826.87 14260564.19 10.30
1518824.31 14260552.54 10.33
1518834.54 14260548.54 10.43
1518831.03 14260543.94 10.56
1518833.23 14260020.35 13.48
1518817.81 14260072.39 13.52
1518826.21 14260099.39 13.62
1518832.25 14260117.76 13.91
1518829.03 14260105.03 14.11
1518820.34 14260042.57 14.21
1518828.11 14260089.81 14.21
1518823.68 14260063.40 14.24
1518815.15 14260054.67 14.24
1518820.30 14260047.72 14.34
1518822.27 14260034.46 14.34
1518828.11 14260033.97 14.40
1518829.10 14260112.18 14.47
1518815.88 14260061.66 14.67
1518834.31 14260027.18 14.70
1518821.12 14260081.38 14.73
1518825.23 14260046.21 15.09
1518828.21 14260084.79 15.12
1518827.36 14260075.11 15.35
1518835.33 14260110.71 15.49
1518834.97 14260058.15 15.52
1518826.90 14260054.38 15.58
1518829.06 14260040.73 15.68
