X Y Z
2247636.59 14007569.08 5.58
2247630.09 14007569.37 5.91
2247643.38 14007574.00 6.00
2247641.93 14007565.90 9.28
2247640.10 14007559.99 11.06
2247646.82 14007566.82 11.12
2247647.31 14007560.75 13.52
2247644.95 14007555.43 14.73
2247651.22 14007582.70 5.51
2247663.92 14007590.37 5.64
2247673.82 14007595.33 5.77
2247659.45 14007585.55 6.23
2247668.74 14007596.74 6.46
2247662.96 14007580.17 8.04
2247651.74 14007573.15 8.63
2247670.90 14007583.22 8.76
2247664.93 14007576.33 11.06
2247653.94 14007569.11 11.71
2247674.94 14007577.28 13.62
2247663.42 14007570.46 13.98
2247668.87 14007572.33 14.24
2247653.81 14007561.89 14.34
2247672.48 14007568.69 15.88
2247659.09 14007560.52 16.08
2247665.85 14007562.71 16.40
2247652.47 14007552.18 16.73
2247660.57 14007555.33 17.32
2247673.82 14007563.73 17.36
2247670.18 14007558.42 18.08
2247656.70 14007548.18 18.11
2247666.80 14007553.00 18.57
2247672.71 14007552.48 18.70
2247661.62 14007545.29 18.93
2247666.87 14007547.43 19.16
2247665.79 14007541.32 19.29
2247671.76 14007542.73 19.52
2247667.75 14007534.14 19.55
2247672.68 14007533.12 19.98
2247673.86 14007511.37 21.92
2247698.92 14007610.65 5.25
2247677.43 14007600.81 5.35
2247682.88 14007600.54 5.41
2247689.08 14007602.94 6.00
2247695.02 14007605.00 6.00
2247682.45 14007595.52 6.96
2247678.29 14007588.76 8.30
2247698.13 14007599.99 9.02
2247686.06 14007591.68 9.94
2247683.76 14007586.76 11.52
2247693.08 14007587.81 13.48
2247700.00 14007591.23 13.71
2247682.81 14007580.17 13.98
2247698.20 14007586.04 15.16
2247692.59 14007579.28 16.08
2247677.33 14007571.08 16.34
2247682.32 14007571.41 16.70
2247687.54 14007573.48 17.13
2247696.40 14007575.28 17.52
2247679.01 14007565.70 17.75
2247688.88 14007566.55 18.08
2247694.20 14007568.32 18.44
2247683.04 14007561.66 18.73
2247677.60 14007556.32 18.86
2247698.23 14007564.13 19.00
2247687.57 14007558.94 19.32
2247675.69 14007547.79 19.39
2247696.26 14007559.01 19.46
2247684.65 14007551.13 19.55
2247679.40 14007544.15 19.69
2247689.18 14007553.69 19.72
2247676.09 14007538.54 19.91
2247688.82 14007547.00 20.01
2247696.10 14007553.79 20.01
2247693.44 14007549.39 20.14
2247686.39 14007542.44 20.28
2247681.76 14007534.86 20.41
2247693.31 14007540.70 20.44
2247676.97 14007527.31 20.44
2247699.74 14007550.08 20.51
2247686.85 14007531.68 20.70
2247698.53 14007542.50 20.96
2247694.03 14007534.93 21.10
2247682.48 14007522.16 21.26
2247689.54 14007525.58 21.26
2247676.12 14007522.13 21.29
2247699.09 14007533.29 21.39
2247676.32 14007515.77 21.59
2247691.84 14007514.62 21.95
2247686.00 14007512.98 22.15
2247697.12 14007516.72 22.18
2247685.08 14007507.47 22.31
2247678.52 14007509.47 22.41
2247694.69 14007507.89 22.54
2247699.74 14007504.05 22.74
2247690.69 14007501.69 22.83
2247698.30 14007494.21 23.52
2247704.86 14007610.71 5.51
2247718.15 14007620.46 5.58
2247713.85 14007616.98 6.00
2247721.72 14007616.95 8.07
2247713.62 14007609.50 8.79
2247704.60 14007603.07 9.28
2247718.61 14007609.17 9.42
2247724.22 14007612.88 10.27
2247707.45 14007598.44 11.29
2247717.79 14007603.73 12.30
2247713.52 14007598.64 12.60
2247710.80 14007593.32 13.29
2247718.25 14007596.93 13.94
2247709.78 14007587.62 15.68
2247714.41 14007589.52 15.72
2247701.84 14007582.17 16.57
2247712.77 14007582.76 17.49
2247707.35 14007578.10 17.85
2247720.41 14007584.86 18.04
2247704.66 14007571.93 18.47
2247720.44 14007579.81 18.64
2247713.59 14007574.99 18.64
2247703.15 14007566.39 18.96
2247714.28 14007568.98 19.23
2247725.00 14007576.69 19.26
2247705.98 14007561.57 19.49
2247723.20 14007571.74 19.55
2247714.05 14007563.80 19.91
2247719.69 14007565.01 19.95
2247702.76 14007555.89 20.14
2247710.67 14007558.48 20.54
2247719.20 14007558.35 20.77
2247707.29 14007550.28 21.16
2247700.60 14007527.61 21.49
2247717.79 14007552.84 21.52
2247724.94 14007555.96 21.72
2247706.96 14007544.57 21.75
2247706.43 14007527.68 22.01
2247704.24 14007536.63 22.11
2247721.46 14007548.97 22.21
2247724.28 14007497.03 22.41
2247713.69 14007541.13 22.44
2247716.80 14007507.56 22.47
2247700.69 14007509.93 22.47
2247703.55 14007519.21 22.57
2247712.50 14007483.29 22.70
2247709.91 14007523.54 22.77
2247724.22 14007520.33 22.77
2247707.03 14007510.45 22.77
2247712.41 14007532.04 22.80
2247715.03 14007525.97 22.83
2247710.86 14007518.29 22.83
2247714.67 14007498.25 22.93
2247718.97 14007488.01 22.97
2247706.37 14007488.01 23.00
2247719.20 14007530.27 23.06
2247720.21 14007523.31 23.10
2247706.76 14007502.51 23.10
2247716.74 14007516.91 23.13
2247722.45 14007477.25 23.13
2247700.66 14007498.64 23.26
2247720.05 14007538.08 23.29
2247719.85 14007493.23 23.33
2247709.81 14007494.70 23.49
2247722.22 14007514.29 23.59
2247717.56 14007479.38 24.05
2247743.08 14007637.45 5.09
2247730.61 14007628.07 5.38
2247739.44 14007631.84 5.87
2247727.10 14007622.36 6.73
2247749.28 14007634.86 7.48
2247734.98 14007626.99 7.58
2247742.16 14007627.87 9.06
2247729.53 14007618.52 9.48
2247737.67 14007622.92 10.53
2247748.20 14007628.30 10.73
2247742.79 14007621.21 12.50
2247730.78 14007612.68 12.73
2247736.78 14007614.65 12.86
2247725.92 14007608.09 12.89
2247748.82 14007620.10 14.24
2247741.77 14007611.30 14.57
2247730.52 14007605.10 14.57
2247726.61 14007599.56 14.86
2247737.41 14007603.13 15.81
2247727.33 14007594.01 16.70
2247736.62 14007595.92 16.73
2247748.30 14007603.63 16.93
2247743.51 14007597.20 17.22
2247730.78 14007588.86 18.70
2247749.71 14007592.50 18.80
2247733.44 14007584.63 19.23
2247739.18 14007585.32 19.29
2247735.40 14007579.32 19.42
2247747.08 14007582.27 19.65
2247731.11 14007573.71 19.69
2247740.10 14007576.20 19.72
2247748.92 14007577.18 19.95
2247730.29 14007566.00 20.31
2247737.80 14007568.49 20.31
2247749.28 14007571.38 20.51
2247738.03 14007463.70 20.96
2247744.82 14007569.15 21.06
2247743.90 14007459.17 21.19
2247732.75 14007469.34 21.39
2247748.79 14007562.26 21.59
2247739.74 14007559.57 21.69
2247733.01 14007557.89 21.72
2247733.67 14007476.46 21.95
2247749.74 14007454.64 21.98
2247738.49 14007472.79 22.01
2247749.48 14007556.32 22.01
2247728.32 14007475.84 22.15
2247749.22 14007491.72 22.21
2247738.13 14007512.94 22.38
2247731.60 14007552.41 22.41
2247744.03 14007495.33 22.44
2247747.87 14007478.73 22.44
2247732.78 14007518.23 22.47
2247745.31 14007470.75 22.47
2247731.80 14007486.50 22.47
2247725.99 14007483.97 22.54
2247748.20 14007529.02 22.57
2247745.64 14007549.79 22.60
2247736.55 14007506.58 22.60
2247743.93 14007514.58 22.64
2247748.27 14007502.48 22.67
2247745.97 14007485.52 22.70
2247737.80 14007498.28 22.70
2247744.85 14007533.06 22.74
2247739.11 14007492.34 22.80
2247743.48 14007526.79 22.90
2247742.85 14007503.40 22.90
2247738.49 14007550.74 22.93
2247746.36 14007521.15 22.97
2247726.32 14007526.40 23.00
2247729.73 14007511.67 23.00
2247731.99 14007525.74 23.16
2247736.98 14007534.30 23.16
2247730.16 14007546.80 23.20
2247731.89 14007499.17 23.26
2247740.62 14007484.24 23.26
2247749.41 14007544.54 23.33
2247740.88 14007546.08 23.39
2247747.61 14007539.81 23.46
2247733.57 14007491.88 23.49
2247727.76 14007542.37 23.56
2247727.30 14007535.68 23.62
2247749.97 14007460.81 23.65
2247726.15 14007506.45 23.82
2247737.87 14007524.69 23.85
2247773.27 14007655.04 5.15
2247761.52 14007647.23 5.28
2247767.26 14007653.56 5.35
2247752.73 14007639.45 5.94
2247759.22 14007641.29 6.76
2247767.46 14007646.84 7.19
2247755.84 14007636.63 8.76
2247764.70 14007639.62 9.32
2247773.79 14007639.55 11.88
2247767.79 14007635.32 12.40
2247756.76 14007631.19 12.63
2247762.70 14007632.04 12.70
2247753.38 14007625.05 14.04
2247767.29 14007629.38 15.22
2247761.13 14007622.62 16.47
2247750.17 14007609.60 16.54
2247757.71 14007618.00 16.83
2247755.45 14007612.45 17.09
2247757.45 14007604.38 17.29
2247762.37 14007607.60 17.59
2247771.76 14007627.02 17.65
2247751.02 14007597.85 17.88
2247763.13 14007613.04 17.91
2247769.53 14007621.24 17.98
2247756.86 14007598.64 18.18
2247773.07 14007608.78 18.34
2247764.34 14007600.77 19.16
2247774.74 14007616.59 19.65
2247768.84 14007598.48 19.75
2247755.81 14007588.44 19.78
2247774.97 14007601.49 19.88
2247766.41 14007593.10 20.01
2247757.58 14007583.48 20.14
2247762.44 14007585.22 20.31
2247774.18 14007588.73 20.51
2247753.84 14007575.44 20.70
2247768.54 14007584.37 20.77
2247759.52 14007573.31 20.80
2247752.27 14007567.11 21.06
2247766.05 14007579.41 21.06
2247774.45 14007580.46 21.23
2247765.23 14007572.66 21.29
2247757.81 14007448.44 21.33
2247768.18 14007440.70 21.42
2247763.59 14007565.86 21.56
2247761.39 14007471.64 21.59
2247766.97 14007469.31 21.62
2247763.06 14007448.02 21.62
2247757.98 14007478.10 21.65
2247773.79 14007477.97 21.69
2247756.24 14007485.68 21.72
2247754.30 14007473.12 21.78
2247764.74 14007480.99 21.82
2247774.35 14007442.11 21.85
2247761.22 14007462.52 21.85
2247765.88 14007509.20 21.88
2247771.69 14007569.24 21.88
2247772.05 14007467.70 21.88
2247765.29 14007457.20 21.92
2247765.36 14007516.75 21.92
2247771.00 14007473.12 21.95
2247757.65 14007467.50 21.98
2247769.49 14007504.91 22.11
2247757.58 14007558.35 22.15
2247761.19 14007526.40 22.21
2247773.13 14007500.67 22.21
2247773.82 14007493.95 22.28
2247757.94 14007519.18 22.28
2247771.00 14007563.63 22.31
2247765.42 14007521.90 22.31
2247771.56 14007453.99 22.31
2247750.17 14007513.73 22.31
2247771.26 14007483.78 22.34
2247774.18 14007514.39 22.41
2247750.92 14007466.49 22.44
2247762.47 14007502.58 22.47
2247760.44 14007513.21 22.47
2247753.19 14007529.97 22.54
2247757.75 14007458.61 22.60
2247753.42 14007522.46 22.67
2247762.01 14007554.78 22.67
2247772.08 14007557.40 22.77
2247759.68 14007489.22 22.80
2247760.54 14007535.16 22.83
2247770.31 14007532.89 22.83
2247771.00 14007527.74 22.90
2247763.39 14007496.67 22.97
2247754.56 14007505.20 22.97
2247766.47 14007551.53 23.00
2247754.76 14007546.90 23.03
2247769.13 14007537.81 23.06
2247760.77 14007548.87 23.10
2247751.91 14007536.80 23.16
2247770.84 14007546.64 23.20
2247756.80 14007539.29 23.20
2247764.01 14007543.10 23.26
2247756.11 14007499.30 23.62
2247789.44 14007664.52 4.92
2247784.06 14007661.70 5.09
2247795.94 14007666.19 5.31
2247778.55 14007655.76 5.48
2247784.58 14007653.82 8.27
2247776.09 14007645.72 9.68
2247780.68 14007648.34 9.81
2247792.36 14007655.86 10.01
2247782.19 14007643.59 12.63
2247788.69 14007646.54 13.48
2247779.99 14007638.99 14.30
2247794.95 14007646.08 15.52
2247788.95 14007640.93 16.24
2247775.69 14007633.02 16.34
2247786.13 14007635.09 17.88
2247777.14 14007627.02 17.91
2247782.39 14007627.12 18.21
2247794.23 14007636.14 19.19
2247778.15 14007621.31 19.32
2247792.52 14007619.77 19.62
2247779.17 14007609.53 19.69
2247780.65 14007616.03 19.78
2247790.88 14007629.32 19.88
