X Y Z
1021280.90 14502692.55 28.81
1021265.15 14502501.11 33.63
1021305.01 14502419.58 13.78
1021305.17 14502427.88 13.78
1021304.65 14502413.38 14.27
1021305.37 14502404.52 14.53
1021306.65 14502398.85 14.76
1021308.59 14502392.91 14.93
1021308.09 14502423.81 15.16
1021309.96 14502437.69 15.72
1021309.44 14502418.27 15.81
1021309.70 14502431.52 15.81
1021309.51 14502411.51 16.21
1021307.44 14502447.50 17.52
1021309.60 14502352.59 18.18
1021309.37 14502652.23 18.93
1021308.23 14502646.75 19.09
1021306.16 14502474.80 19.13
1021306.22 14502640.64 19.65
1021305.86 14502631.92 19.98
1021309.93 14502554.85 20.08
1021308.39 14502561.77 20.14
1021308.23 14502535.56 20.21
1021307.57 14502544.52 20.21
1021307.31 14502549.67 20.24
1021306.49 14502486.90 20.34
1021304.45 14502626.64 20.60
1021307.54 14502567.74 20.70
1021307.57 14502596.58 20.83
1021307.57 14502480.54 20.87
1021308.91 14502586.58 20.93
1021308.00 14502573.32 20.93
1021304.22 14502620.63 21.00
1021305.08 14502614.00 21.00
1021308.91 14502636.41 21.03
1021308.91 14502510.69 21.06
1021305.67 14502602.59 21.13
1021308.32 14502578.93 21.26
1021307.60 14502663.09 21.29
1021304.52 14502607.54 21.39
1021305.37 14502506.88 21.59
1021309.54 14502591.83 22.21
1021309.70 14502608.16 22.60
1021309.51 14502597.53 25.43
1021307.34 14502623.39 25.69
1021305.17 14502582.21 26.02
1021307.11 14502613.94 26.28
1021304.55 14502618.86 26.51
1021309.37 14502541.79 26.57
1021308.16 14502573.52 27.00
1021307.50 14502602.16 27.23
1021308.59 14502548.75 27.36
1021309.70 14502585.00 27.36
1021305.04 14502607.28 28.05
1021302.91 14502627.59 29.10
1021305.17 14502592.45 29.43
1021301.89 14502600.85 30.97
1021291.62 14502107.74 32.32
1021317.58 14502259.48 10.63
1021314.26 14502275.75 10.99
1021316.66 14502264.66 10.99
1021313.48 14502288.38 11.02
1021321.05 14502243.47 11.06
1021315.77 14502270.93 11.19
1021319.45 14502275.59 11.19
1021319.68 14502253.15 11.32
1021315.15 14502281.20 11.71
1021317.48 14502291.33 11.75
1021323.78 14502239.33 11.98
1021311.97 14502293.30 12.04
1021324.07 14502234.15 12.07
1021322.56 14502248.62 12.20
1021320.07 14502268.50 12.24
1021321.28 14502262.73 12.40
1021322.33 14502257.61 12.47
1021317.61 14502286.25 12.93
1021326.43 14502243.73 13.16
1021325.22 14502253.51 13.29
1021328.57 14502237.23 13.35
1021314.79 14502298.09 13.39
1021320.33 14502280.47 13.55
1021326.70 14502260.40 13.98
1021323.12 14502273.03 14.01
1021328.44 14502248.62 14.04
1021325.19 14502267.19 14.17
1021319.45 14502296.16 14.34
1021319.38 14502302.75 14.50
1021335.06 14502167.25 14.53
1021322.50 14502286.58 14.63
1021331.59 14502243.60 14.70
1021333.65 14502237.59 14.73
1021334.41 14502226.21 14.73
1021332.14 14502251.96 14.76
1021321.91 14502291.83 14.80
1021319.87 14502309.38 14.83
1021325.45 14502277.46 14.93
1021334.34 14502232.28 14.99
1021329.68 14502264.86 15.19
1021310.46 14502387.53 15.22
1021330.34 14502256.92 15.26
1021334.18 14502160.46 15.26
1021328.11 14502271.55 15.42
1021334.28 14502155.28 15.62
1021326.47 14502282.67 15.75
1021323.55 14502299.57 15.81
1021311.38 14502404.46 15.85
1021310.42 14502442.88 15.94
1021323.35 14502305.77 16.01
