X Y Z
1787854.91 14119765.81 17.42
1787856.26 14120496.65 17.68
1787855.63 14119654.10 19.75
1787850.78 14120428.27 20.47
1787857.18 14119751.04 20.73
1787845.27 14119750.95 21.42
1787843.76 14119768.24 21.59
1787848.35 14119733.98 22.60
1787857.54 14119745.70 22.64
1787854.09 14119627.09 22.67
1787844.71 14119739.72 23.00
1787841.79 14119715.09 23.26
1787856.16 14119640.05 23.29
1787857.57 14119608.39 23.39
1787855.11 14119661.54 23.69
1787851.34 14119656.82 23.69
1787857.70 14119739.43 23.72
1787844.91 14119759.64 23.72
1787842.64 14119723.94 24.25
1787841.66 14119733.98 24.31
1787848.15 14119669.19 24.31
1787845.63 14119710.33 24.48
1787855.08 14119615.64 24.64
1787857.44 14119727.22 24.70
1787857.93 14119734.25 24.77
1787852.12 14119743.27 24.77
1787838.28 14119754.62 24.84
1787851.63 14119728.14 24.87
1787857.64 14119693.37 25.33
1787851.07 14119644.71 25.43
1787855.40 14119678.18 25.43
1787855.96 14119686.64 25.59
1787856.00 14119703.87 25.75
1787853.70 14119648.98 25.75
1787848.78 14119705.67 25.79
1787848.74 14119723.98 26.05
1787852.81 14119665.61 26.08
1787850.81 14119684.02 26.18
1787855.04 14119697.89 26.18
1787852.52 14119690.87 26.28
1787850.58 14119710.46 26.38
1787853.90 14119723.45 26.48
1787840.80 14119762.00 26.80
1787850.55 14119716.30 26.97
1787852.16 14119673.06 26.97
1787843.79 14119700.98 27.62
1787848.45 14119752.62 27.72
1787849.20 14119660.23 27.85
1787844.51 14119730.31 29.63
1787842.94 14119754.92 29.69
1787878.90 14120991.33 5.87
1787876.43 14120720.37 5.91
1787878.70 14120930.80 5.97
1787878.21 14120986.24 6.00
1787876.76 14120705.08 6.04
1787878.01 14120965.21 6.07
1787880.11 14120999.63 6.10
1787879.88 14120918.50 6.14
1787878.08 14120945.60 6.14
1787876.70 14120743.46 6.14
1787879.19 14120936.41 6.20
1787877.03 14120959.24 6.20
