X Y Z
1517558.99 14259793.81 14.86
1517558.73 14259780.46 15.35
1517555.67 14259787.12 15.49
1517556.53 14259774.00 15.78
1517552.98 14259780.10 15.94
1517556.53 14259762.84 16.04
1517550.42 14259775.14 16.27
1517553.34 14259766.94 16.40
1517548.59 14259770.13 16.50
1517551.11 14259757.95 16.54
1517558.50 14259758.25 16.67
1517556.79 14259751.72 16.96
1517555.84 14259744.17 17.19
1517545.70 14259762.61 17.29
1517546.19 14259754.87 17.32
1517550.29 14259745.68 17.49
1517551.87 14259752.84 17.65
1517543.47 14259748.37 17.88
1517581.69 14259686.92 8.43
1517575.65 14259686.89 8.46
1517570.47 14259688.69 8.53
1517564.79 14259685.61 9.25
1517570.34 14259682.20 9.55
1517579.43 14259691.81 9.55
1517565.22 14259690.70 9.61
1517573.78 14259692.80 9.78
1517567.52 14259695.95 10.76
1517576.84 14259698.08 12.07
1517570.60 14259700.11 12.83
1517581.40 14259841.52 13.06
1517583.36 14259836.89 13.16
1517582.02 14259847.09 13.29
1517577.89 14259837.64 13.42
1517582.15 14259700.37 13.55
1517581.13 14259832.10 13.68
1517582.81 14259824.65 13.85
1517578.21 14259809.53 13.98
1517566.86 14259811.14 14.04
1517582.12 14259816.94 14.11
1517577.29 14259827.05 14.11
1517577.10 14259816.75 14.14
1517572.41 14259809.10 14.14
1517575.65 14259831.97 14.17
1517563.58 14259799.23 14.21
1517575.29 14259702.61 14.24
1517584.09 14259786.23 14.24
1517579.33 14259804.34 14.37
1517577.95 14259799.36 14.44
1517569.29 14259804.61 14.50
1517572.18 14259824.69 14.53
1517581.63 14259779.02 14.53
1517575.10 14259763.27 14.60
1517572.70 14259757.00 14.63
1517564.07 14259806.18 14.63
1517563.88 14259792.53 14.67
1517577.62 14259758.22 14.70
1517581.95 14259794.04 14.70
1517569.62 14259815.56 14.70
1517567.19 14259703.39 14.73
1517571.65 14259780.23 14.80
1517578.64 14259773.18 14.80
1517577.13 14259788.66 14.83
1517571.29 14259751.39 14.83
1517577.69 14259782.40 14.86
