X Y Z
1524584.99 14253927.91 9.19
1524572.69 14253926.11 9.22
1524581.38 14253923.61 9.28
1524579.74 14253928.47 9.48
1524579.51 14253917.84 9.51
1524582.30 14253908.10 9.68
1524572.75 14253914.76 9.91
1524574.07 14253920.20 9.91
1524565.80 14253924.89 9.94
1524599.03 14253936.70 9.12
1524592.08 14253933.13 9.15
1524596.54 14253929.78 9.25
1524601.99 14253926.67 9.25
1524608.58 14253944.28 9.32
1524608.84 14253929.98 9.42
1524586.37 14253917.45 9.45
1524597.00 14253921.19 9.55
1524610.42 14253923.98 9.74
1524591.95 14253911.97 9.78
1524604.18 14253914.40 9.84
1524596.67 14253905.24 9.91
1524588.99 14253906.75 9.97
1524605.99 14253904.19 9.97
1524592.93 14253917.15 10.01
1524599.20 14253911.97 10.27
1524589.39 14253898.42 10.33
1524599.30 14253897.66 10.50
1524609.56 14253882.87 10.73
1524632.01 14253958.42 9.09
1524624.82 14253952.72 9.38
1524614.45 14253942.77 9.38
1524622.46 14253934.18 9.42
1524629.61 14253928.01 9.42
1524613.70 14253933.72 9.42
1524614.75 14253927.65 9.45
1524631.71 14253951.04 9.55
1524633.65 14253943.59 9.55
1524618.52 14253923.52 9.58
1524626.85 14253941.20 9.65
1524620.26 14253943.23 9.65
1524623.84 14253926.04 9.74
1524632.92 14253931.78 9.74
1524612.58 14253917.91 9.78
1524621.90 14253914.62 9.78
1524615.40 14253950.25 9.78
1524633.42 14253937.56 9.88
1524624.59 14253958.26 10.04
1524610.78 14253906.72 10.04
1524627.61 14253920.30 10.10
1524634.50 14253919.05 10.20
1524627.97 14253889.40 10.30
1524618.13 14253907.41 10.43
1524620.59 14253890.84 10.43
1524632.04 14253895.86 10.47
1524632.96 14253887.43 10.50
1524613.83 14253879.68 10.63
1524627.28 14253882.90 10.66
1524615.40 14253874.73 10.73
1524618.13 14253884.54 10.73
1524623.48 14253898.38 10.79
1524630.27 14253902.88 10.89
1524626.66 14253865.41 10.93
1524630.23 14253859.38 10.99
1524627.94 14253877.52 11.06
1524631.38 14253871.48 11.09
1524621.18 14253873.29 11.19
1524633.84 14253864.17 11.35
1524612.98 14253891.79 11.45
1524639.94 14253950.09 9.22
1524638.96 14253957.08 9.25
1524639.26 14253964.17 9.28
1524652.61 14253967.91 9.32
1524645.36 14253949.76 9.42
1524656.84 14253956.91 9.42
1524645.78 14253959.90 9.61
1524658.61 14253968.73 9.68
1524658.12 14253947.73 9.68
1524651.89 14253953.27 9.71
1524647.49 14253942.18 9.74
1524646.08 14253937.07 9.78
1524641.65 14253940.64 9.78
1524651.17 14253947.83 9.91
1524644.77 14253929.32 9.94
1524642.04 14253924.07 9.97
1524655.20 14253933.75 10.07
1524642.01 14253933.82 10.14
1524655.33 14253941.86 10.27
1524657.30 14253892.12 10.33
1524654.35 14253896.68 10.37
1524649.26 14253925.62 10.40
1524648.67 14253910.13 10.43
1524638.44 14253884.80 10.50
1524659.17 14253910.36 10.50
1524653.99 14253905.87 10.50
1524645.98 14253896.15 10.50
1524637.52 14253901.50 10.53
1524653.99 14253911.21 10.56
1524641.03 14253907.64 10.56
1524659.01 14253901.70 10.73
1524650.54 14253873.91 10.76
1524636.89 14253876.99 10.79
1524647.52 14253868.73 10.83
1524659.50 14253929.95 10.83
1524643.62 14253883.98 10.86
1524640.99 14253893.50 10.89
1524640.24 14253862.62 10.93
1524653.59 14253868.79 10.93
1524652.90 14253882.34 10.96
1524656.45 14253874.04 11.02
1524639.22 14253868.79 11.02
1524643.49 14253878.34 11.12
1524645.95 14253889.33 11.22
1524642.57 14253856.46 11.29
1524646.15 14253861.05 11.35
1524659.01 14253915.31 11.38
1524652.77 14253890.15 11.48
1524639.45 14253848.65 11.84
1524659.56 14253879.59 12.04
1524684.10 14253962.26 9.28
1524679.54 14253965.31 9.42
1524676.23 14253973.02 9.48
1524668.23 14253975.12 9.51
1524669.54 14253966.79 9.55
1524669.90 14253959.01 9.58
1524663.80 14253970.99 9.58
1524684.86 14253977.91 9.58
1524675.97 14253978.21 9.61
1524663.86 14253960.69 9.68
1524684.30 14253969.15 9.71
1524662.35 14253955.64 9.74
1524661.43 14253942.51 9.78
1524682.43 14253945.43 9.81
1524675.71 14253951.63 9.88
1524664.42 14253950.03 9.91
1524677.81 14253942.87 10.07
1524677.31 14253960.56 10.10
1524663.99 14253936.38 10.14
1524666.62 14253942.81 10.14
1524682.20 14253955.18 10.20
1524671.57 14253938.84 10.20
1524678.10 14253902.52 10.30
1524667.86 14253911.70 10.40
1524685.19 14253940.44 10.43
1524683.38 14253895.50 10.47
1524676.89 14253937.53 10.60
1524684.86 14253905.96 10.76
1524672.75 14253906.85 10.79
1524663.90 14253903.57 10.89
1524674.26 14253876.34 10.93
1524678.30 14253872.20 10.93
1524675.05 14253913.44 10.96
1524685.02 14253871.65 10.99
1524670.19 14253886.25 10.99
1524684.99 14253913.67 11.06
1524672.39 14253898.19 11.06
1524667.08 14253893.63 11.35
1524663.30 14253873.65 11.45
1524677.44 14253890.41 11.55
1524665.44 14253883.46 11.61
1524664.32 14253898.45 11.61
1524684.04 14253879.52 11.81
1524684.86 14253806.75 12.50
1524681.15 14253810.56 13.02
1524680.20 14253815.81 13.12
1524695.33 14253981.62 9.61
1524689.68 14253971.91 9.65
1524689.12 14253958.56 9.68
1524690.31 14253978.90 9.71
1524698.38 14253966.04 9.71
1524702.12 14253982.73 9.74
1524696.60 14253976.01 9.78
1524701.36 14253959.51 9.78
1524705.46 14253977.94 9.84
1524705.96 14253953.01 9.84
1524709.40 14253974.80 9.91
1524710.02 14253957.14 9.94
1524705.40 14253971.22 10.04
1524692.18 14253949.83 10.04
1524697.49 14253949.24 10.07
1524694.21 14253955.31 10.14
1524703.46 14253948.02 10.17
1524688.47 14253945.10 10.30
1524692.54 14253941.66 10.43
1524704.45 14253902.03 10.43
1524701.56 14253896.42 10.50
1524702.51 14253942.91 10.53
1524689.72 14253893.37 10.53
1524694.77 14253961.44 10.53
1524697.46 14253901.60 10.53
1524707.60 14253944.97 10.70
1524693.75 14253896.48 10.73
1524696.15 14253878.47 10.73
1524707.46 14253894.15 10.83
1524701.99 14253890.61 10.86
1524688.80 14253887.98 10.99
1524689.65 14253874.30 11.02
1524697.33 14253912.79 11.06
1524708.58 14253886.51 11.09
1524706.28 14253879.36 11.12
1524687.52 14253900.75 11.15
1524692.27 14253913.97 11.19
1524710.02 14253875.88 11.19
1524704.94 14253911.84 11.22
1524700.67 14253881.29 11.25
1524697.85 14253873.68 11.25
1524707.50 14253905.96 11.25
1524704.71 14253917.15 11.38
