X Y Z
2319418.10 14058948.67 6.76
2319411.90 14059076.36 6.96
2319417.05 14058868.55 6.96
2319411.51 14058791.19 7.12
2319407.74 14058874.13 7.22
2319407.47 14058851.72 7.25
2319409.90 14058761.07 7.25
2319424.04 14058865.70 7.28
2319405.70 14058794.08 7.32
2319416.96 14058787.42 7.32
2319420.60 14058754.48 7.38
2319414.27 14058758.61 7.45
2319421.45 14058783.78 7.64
2319406.98 14058803.43 7.84
2319406.49 14058819.44 7.94
2319418.50 14058821.77 8.10
2319410.26 14058935.84 8.37
2319408.66 14059072.85 8.79
2319409.94 14058826.29 8.96
2319410.39 14058767.21 9.55
2319416.14 14058798.47 9.81
2319423.62 14058825.25 10.24
2319420.11 14059129.12 10.66
2319408.00 14059068.16 10.70
2319413.18 14058778.92 10.70
2319412.07 14058771.87 10.99
2319420.30 14058787.29 11.15
2319423.16 14059036.04 11.29
2319414.69 14058924.16 11.35
2319407.67 14058967.50 11.52
2319411.94 14058756.68 11.55
2319416.69 14058919.27 11.55
2319412.49 14058940.21 11.61
2319422.53 14058930.46 11.65
2319419.48 14059113.99 11.65
2319405.90 14058871.31 11.68
2319409.77 14058805.26 11.68
2319409.67 14058916.94 11.68
2319423.09 14058921.96 11.68
2319414.30 14058935.55 11.71
2319421.65 14059089.65 11.75
2319406.39 14058931.15 11.75
2319408.85 14058855.04 11.78
2319423.29 14059106.15 11.78
2319416.96 14058944.40 11.78
2319419.68 14059119.44 11.81
2319421.52 14058954.21 11.81
2319419.61 14058925.67 11.81
2319412.07 14059077.61 11.84
2319405.93 14058913.57 11.84
2319411.61 14058931.31 11.84
2319423.68 14059042.63 11.84
2319422.57 14059084.56 11.84
2319417.68 14059081.61 11.88
2319420.34 14059050.34 11.91
2319410.36 14058944.73 11.91
2319418.56 14058818.49 11.91
2319415.38 14059122.92 11.94
2319405.44 14058925.54 11.94
2319416.37 14058965.63 11.98
2319418.37 14058949.36 11.98
2319407.54 14058939.22 11.98
2319423.91 14058940.99 11.98
2319406.65 14059078.53 11.98
2319409.21 14058796.05 11.98
2319423.35 14058959.00 12.04
2319405.38 14058920.49 12.04
2319416.37 14059147.95 12.04
2319406.43 14058961.24 12.07
2319416.60 14059086.79 12.07
2319413.02 14058961.86 12.07
2319406.16 14058949.56 12.07
2319411.41 14059085.19 12.07
2319422.34 14059157.43 12.07
2319419.38 14058935.68 12.07
2319417.05 14058908.51 12.11
2319421.88 14059101.29 12.11
2319417.42 14058913.73 12.11
2319410.17 14058921.96 12.14
2319413.77 14059171.14 12.14
2319420.37 14058900.08 12.14
2319414.69 14059115.43 12.17
