X Y Z
1021320.99 14502134.64 8.23
1021320.92 14502208.92 8.33
1021320.10 14502226.57 8.33
1021315.90 14502244.29 8.37
1021315.67 14502234.64 8.43
1021316.76 14502252.49 8.50
1021320.79 14502216.14 8.63
1021315.94 14502264.20 9.15
1021314.46 14502269.22 9.32
1021319.51 14502239.76 9.51
1021319.48 14502247.86 10.14
1021319.48 14502256.03 10.89
1021320.36 14502270.14 11.15
1021317.28 14502289.86 11.65
1021312.36 14502342.09 12.24
1021316.59 14502302.88 12.37
1021315.38 14502308.39 12.40
1021312.23 14502331.49 12.47
1021311.31 14502363.55 12.63
1021312.16 14502350.88 12.66
1021311.38 14502358.03 12.76
1021310.82 14502369.02 12.83
1021311.41 14502374.70 12.83
1021315.87 14502313.81 12.93
1021315.80 14502326.41 13.06
1021315.74 14502319.25 13.09
1021320.10 14502293.93 13.39
1021310.59 14502382.11 13.39
1021316.26 14502335.36 13.55
1021315.87 14502345.83 13.85
1021320.36 14502306.98 14.01
1021320.63 14502312.40 14.07
1021310.10 14502393.43 14.21
1021310.10 14502399.08 14.53
1021315.84 14502365.68 14.60
1021311.15 14502450.36 14.70
1021311.67 14502459.08 14.80
1021309.57 14502404.85 14.83
1021311.41 14502464.50 14.89
1021320.27 14502339.10 15.06
1021306.49 14502667.65 15.12
1021320.53 14502330.31 15.12
1021307.24 14502677.78 15.16
1021310.56 14502441.66 15.19
1021312.10 14502429.00 15.22
1021306.82 14502661.77 15.22
1021311.80 14502471.68 15.29
1021310.75 14502418.04 15.29
1021310.49 14502410.53 15.35
1021311.31 14502478.93 15.35
1021309.60 14502423.68 15.39
1021306.03 14502656.00 15.52
1021314.49 14502389.63 15.78
1021310.78 14502673.65 15.81
1021310.36 14502683.85 15.81
1021311.83 14502486.15 16.01
1021311.47 14502695.89 16.08
1021320.14 14502351.50 16.11
1021311.83 14502705.93 16.21
1021312.29 14502711.81 16.31
1021311.01 14502491.60 16.63
1021320.20 14502356.89 16.63
1021306.13 14502648.62 16.67
1021315.71 14502397.11 16.73
1021319.81 14502362.23 16.73
1021310.52 14502496.94 16.86
1021319.97 14502367.71 17.13
1021301.86 14502635.59 17.13
1021315.35 14502718.83 17.36
1021315.05 14502402.65 17.52
1021316.26 14502728.54 17.55
1021306.78 14502523.29 17.78
1021302.22 14502605.41 17.81
1021314.98 14502437.59 17.98
1021315.08 14502453.44 17.98
1021306.29 14502568.89 18.04
1021319.58 14502378.57 18.04
1021306.75 14502518.07 18.04
1021314.89 14502412.04 18.08
1021307.11 14502562.49 18.08
1021310.33 14502654.46 18.11
1021301.96 14502614.30 18.11
1021314.95 14502444.68 18.14
1021306.13 14502530.21 18.21
1021301.01 14502628.44 18.27
1021309.08 14502509.25 18.27
1021314.79 14502689.40 18.27
1021315.44 14502424.93 18.34
1021314.62 14502681.46 18.37
1021315.12 14502675.52 18.44
1021306.91 14502538.84 18.44
1021306.22 14502555.83 18.44
1021305.57 14502587.53 18.50
1021306.13 14502545.76 18.57
1021315.35 14502703.18 18.57
1021317.15 14502736.48 18.60
1021306.09 14502578.21 18.64
1021314.92 14502419.48 18.67
1021305.01 14502595.57 18.73
1021320.30 14502387.86 18.77
1021315.35 14502669.68 18.93
1021317.90 14502635.95 18.96
1021310.49 14502514.40 18.96
1021316.72 14502640.97 19.09
1021315.25 14502664.07 19.39
1021316.79 14502742.74 19.49
1021315.15 14502491.17 19.52
1021310.33 14502643.70 19.52
1021306.42 14502629.10 19.59
1021319.64 14502557.25 19.59
1021320.20 14502512.00 19.72
1021310.56 14502528.21 19.72
1021314.49 14502649.44 19.72
1021314.36 14502658.39 19.85
1021310.03 14502549.01 19.85
1021319.64 14502467.32 19.88
1021319.97 14502517.22 19.88
1021304.94 14502621.81 19.95
1021318.43 14502460.23 19.95
1021319.15 14502715.84 20.01
1021309.47 14502573.62 20.05
1021319.38 14502569.06 20.05
1021313.93 14502503.57 20.08
1021311.08 14502633.26 20.11
1021313.57 14502568.93 20.11
1021315.44 14502573.88 20.14
1021320.23 14502657.15 20.14
1021318.43 14502710.26 20.14
1021314.30 14502543.70 20.18
1021312.69 14502553.96 20.18
1021319.48 14502721.58 20.21
1021318.46 14502480.05 20.28
1021320.63 14502733.16 20.31
1021310.00 14502583.16 20.34
1021320.20 14502562.36 20.34
1021315.80 14502749.27 20.37
