X Y Z
2349383.37 14078313.10 12.11
2349388.75 14078316.84 12.60
2349376.97 14078314.28 12.73
2349384.84 14078295.68 13.35
2349390.91 14078298.53 13.45
2349384.22 14078318.97 13.45
2349385.89 14078303.49 13.45
2349389.27 14078292.99 13.48
2349381.69 14078307.10 13.52
2349380.48 14078300.17 13.55
2349389.27 14078310.94 13.58
2349376.67 14078306.05 13.62
2349391.37 14078284.00 13.62
2349371.62 14078316.41 15.35
2349399.57 14078320.52 12.11
2349414.83 14078324.94 12.34
2349415.49 14078332.36 12.37
2349408.43 14078329.31 12.57
2349401.90 14078326.81 12.83
2349399.94 14078294.10 13.06
2349392.29 14078322.29 13.16
2349405.05 14078293.71 13.19
2349393.14 14078303.49 13.48
2349396.46 14078310.08 13.52
2349415.06 14078235.44 13.55
2349412.24 14078291.74 13.55
2349399.12 14078304.08 13.58
2349416.47 14078270.42 13.62
2349415.95 14078304.77 13.62
2349394.03 14078290.69 13.62
2349406.40 14078302.93 13.62
2349411.42 14078242.07 13.62
2349413.12 14078314.02 13.65
2349397.28 14078298.99 13.65
2349407.51 14078286.16 13.65
2349415.13 14078287.35 13.68
2349403.81 14078274.09 13.71
2349402.00 14078286.33 13.71
2349410.47 14078309.00 13.71
2349403.12 14078310.05 13.71
2349414.44 14078279.21 13.75
2349394.13 14078315.23 13.75
2349408.96 14078247.02 13.78
2349407.58 14078313.17 13.78
2349399.41 14078314.48 13.78
2349408.40 14078281.08 13.85
2349412.40 14078319.07 13.88
2349412.07 14078274.52 13.91
2349407.42 14078319.69 13.91
2349409.42 14078266.28 13.94
2349402.99 14078281.31 14.01
2349414.24 14078252.60 14.07
2349414.99 14078296.07 14.11
2349411.32 14078260.57 14.17
2349416.27 14078259.07 14.17
2349411.12 14078299.29 14.30
2349404.17 14078334.10 15.88
2349440.95 14078280.65 13.02
2349427.30 14078263.86 13.06
2349438.42 14078260.87 13.09
2349433.01 14078260.44 13.09
2349436.52 14078283.18 13.12
2349429.76 14078271.24 13.16
2349423.66 14078276.78 13.22
2349439.96 14078299.62 13.22
2349428.09 14078289.22 13.22
2349433.66 14078267.69 13.25
2349422.15 14078266.28 13.29
2349433.73 14078227.50 13.32
2349426.48 14078258.84 13.32
2349435.86 14078289.08 13.35
2349421.46 14078336.33 13.35
2349430.38 14078283.47 13.39
2349435.99 14078255.59 13.42
2349428.38 14078297.06 13.42
2349440.62 14078325.80 13.42
2349439.44 14078274.75 13.42
2349421.29 14078271.93 13.42
2349420.11 14078289.25 13.42
2349424.08 14078283.80 13.45
2349429.82 14078230.98 13.45
2349440.91 14078286.89 13.45
2349424.61 14078293.48 13.48
2349433.66 14078297.71 13.52
2349420.74 14078308.44 13.52
2349440.16 14078204.41 13.52
2349440.39 14078319.17 13.52
2349426.87 14078334.56 13.52
2349440.68 14078330.88 13.52
2349432.55 14078304.21 13.55
2349435.50 14078324.65 13.55
2349440.75 14078209.72 13.55
2349427.36 14078236.13 13.58
2349426.38 14078302.11 13.58
2349437.93 14078306.15 13.58
2349434.52 14078337.61 13.62
2349418.60 14078283.57 13.62
2349440.81 14078269.27 13.65
2349432.94 14078279.14 13.65
2349423.07 14078312.94 13.65
2349418.87 14078230.75 13.68
2349422.54 14078254.21 13.68
2349426.54 14078307.59 13.68
2349440.22 14078185.41 13.68
2349427.72 14078314.90 13.71
2349418.08 14078314.90 13.71
2349437.50 14078172.39 13.75
2349441.14 14078255.59 13.75
2349435.76 14078315.86 13.75
2349437.30 14078250.53 13.75
2349435.43 14078332.33 13.78
2349422.67 14078241.25 13.78
2349420.47 14078299.58 13.78
2349430.18 14078325.08 13.81
2349433.10 14078216.28 13.81
2349426.02 14078248.40 13.81
2349434.19 14078210.64 13.85
2349422.97 14078319.69 13.85
2349420.67 14078249.29 13.88
2349440.75 14078342.07 13.88
2349438.29 14078193.68 13.91
2349423.46 14078226.58 13.94
2349425.69 14078329.67 13.94
2349423.13 14078325.24 13.94
2349432.32 14078252.04 13.94
2349422.08 14078236.26 13.94
2349429.40 14078221.70 13.98
2349438.88 14078217.56 13.98
2349439.99 14078179.14 14.04
2349420.28 14078331.24 14.04
2349438.32 14078244.99 14.07
2349430.55 14078331.08 14.07
2349434.32 14078176.85 14.21
2349429.36 14078244.66 14.24
2349417.55 14078240.99 14.27
2349432.68 14078235.21 14.27
2349434.32 14078205.59 14.27
2349428.28 14078214.12 14.34
2349440.78 14078164.58 14.34
2349433.56 14078198.47 14.37
2349438.39 14078225.67 14.44
2349423.00 14078219.96 14.50
2349437.89 14078238.82 14.57
2349433.37 14078241.02 14.86
2349437.30 14078231.15 15.03
2349430.12 14078345.61 17.16
2349456.23 14078295.78 12.83
2349448.13 14078300.11 12.86
2349446.33 14078277.73 12.99
2349451.05 14078294.96 13.09
2349450.36 14078274.29 13.09
2349458.60 14078308.67 13.12
2349449.97 14078312.94 13.12
2349452.26 14078171.86 13.16
2349458.43 14078290.86 13.16
2349466.31 14078273.63 13.16
2349453.35 14078300.50 13.19
2349445.44 14078304.34 13.19
2349444.42 14078272.88 13.19
2349462.04 14078161.53 13.22
2349453.15 14078290.40 13.25
2349450.13 14078281.24 13.25
2349457.48 14078315.23 13.25
2349455.25 14078166.71 13.25
2349444.59 14078296.30 13.25
2349450.89 14078306.44 13.29
2349462.47 14078313.95 13.29
2349448.46 14078319.14 13.32
2349455.15 14078320.06 13.35
2349466.50 14078261.69 13.35
2349456.37 14078267.63 13.35
2349449.02 14078176.95 13.39
2349444.26 14078309.39 13.39
2349452.49 14078255.92 13.39
2349463.81 14078288.66 13.42
2349449.44 14078268.32 13.42
2349461.16 14078265.40 13.42
2349461.81 14078331.37 13.45
2349461.12 14078284.36 13.45
2349466.50 14078267.33 13.48
2349445.57 14078183.77 13.48
2349462.80 14078278.62 13.48
2349463.55 14078294.76 13.48
2349454.86 14078332.72 13.52
2349454.10 14078250.73 13.55
2349460.11 14078303.68 13.55
2349444.52 14078264.68 13.55
2349462.96 14078326.16 13.55
2349459.29 14078156.90 13.55
2349446.10 14078284.39 13.58
2349448.72 14078259.98 13.58
2349461.78 14078320.68 13.58
2349466.57 14078152.04 13.58
2349442.65 14078190.20 13.58
2349450.66 14078340.17 13.62
2349464.17 14078138.59 13.62
2349443.37 14078314.74 13.62
2349447.41 14078170.58 13.62
2349445.93 14078326.19 13.62
2349446.69 14078291.32 13.65
2349447.05 14078200.57 13.65
2349455.09 14078161.10 13.65
2349456.53 14078326.68 13.65
2349461.88 14078144.17 13.65
2349464.67 14078301.45 13.65
2349456.96 14078337.51 13.68
2349451.35 14078327.34 13.68
2349464.14 14078252.21 13.68
2349465.98 14078350.93 13.71
2349447.77 14078335.34 13.71
2349451.58 14078182.75 13.71
2349461.52 14078258.44 13.71
2349442.59 14078336.00 13.71
2349456.37 14078273.07 13.71
2349449.84 14078164.71 13.75
2349455.28 14078282.82 13.75
2349446.72 14078205.95 13.75
2349445.87 14078341.61 13.78
2349449.21 14078345.48 13.78
2349451.94 14078197.78 13.78
2349464.08 14078345.25 13.78
2349464.37 14078339.18 13.81
2349464.76 14078306.47 13.81
2349460.60 14078166.94 13.81
