X Y Z
1548281.01 14276465.53 7.61
1548289.28 14276466.71 7.64
1548274.77 14276461.33 7.84
1548284.68 14276461.96 9.15
1548286.22 14276473.11 9.42
1548274.12 14276456.15 9.81
1548279.69 14276457.07 10.99
1548287.67 14276431.21 11.29
1548281.17 14276429.54 11.48
1548288.36 14276424.69 11.55
1548288.32 14276440.40 11.61
1548282.91 14276435.02 11.68
1548279.17 14276438.47 11.68
1548274.68 14276431.58 11.78
1548288.95 14276419.27 11.88
1548273.69 14276437.78 11.94
1548281.57 14276422.32 12.01
1548277.04 14276425.64 12.07
1548286.78 14276445.95 12.07
1548278.19 14276445.68 12.11
1548289.47 14276456.67 12.27
1548283.04 14276453.13 12.37
1548273.30 14276446.83 12.40
1548291.57 14276450.74 12.40
1548283.11 14276416.65 12.53
1548283.57 14276400.21 12.57
1548291.90 14276388.66 12.60
1548278.45 14276450.77 12.63
1548291.77 14276409.07 12.63
1548277.50 14276417.27 12.76
1548288.23 14276402.51 12.83
1548288.62 14276396.90 12.89
1548278.48 14276410.68 12.99
1548284.71 14276409.46 13.12
1548308.57 14276469.90 7.61
1548315.59 14276470.85 7.68
1548294.29 14276467.40 7.68
1548300.50 14276469.04 8.07
1548313.16 14276463.76 9.09
1548305.97 14276464.45 9.35
1548295.61 14276460.81 9.61
1548314.90 14276285.45 10.04
1548304.07 14276311.43 10.60
1548309.52 14276285.61 10.99
1548303.02 14276295.95 10.99
1548303.05 14276305.89 11.02
1548310.53 14276294.53 11.06
1548307.32 14276301.13 11.06
1548307.32 14276328.33 11.22
1548314.08 14276298.41 11.29
1548315.19 14276309.69 11.32
1548292.82 14276435.02 11.35
1548293.18 14276426.62 11.35
1548307.75 14276322.42 11.42
1548310.34 14276334.23 11.45
1548306.43 14276348.77 11.52
1548307.81 14276339.06 11.58
1548304.50 14276459.30 11.65
1548315.69 14276315.66 11.65
1548301.15 14276424.75 11.68
1548294.29 14276420.88 11.68
1548298.20 14276442.11 11.78
1548309.65 14276306.90 11.78
1548302.60 14276418.75 11.81
1548308.27 14276443.32 11.81
1548303.65 14276397.82 11.81
1548314.67 14276411.20 11.84
1548303.05 14276372.22 11.84
1548314.96 14276400.24 11.88
1548303.87 14276377.31 11.91
1548304.37 14276410.58 11.91
1548305.74 14276356.28 11.91
1548298.99 14276437.05 11.91
1548314.47 14276440.96 11.94
1548316.28 14276432.13 11.98
1548313.45 14276459.30 11.98
1548296.20 14276448.44 12.01
1548310.08 14276437.09 12.07
1548312.14 14276417.83 12.07
1548301.12 14276384.63 12.11
1548293.51 14276413.99 12.11
1548307.61 14276315.17 12.11
1548315.16 14276322.45 12.14
1548306.14 14276449.82 12.17
1548315.85 14276445.98 12.17
1548308.70 14276393.91 12.17
1548301.15 14276447.45 12.17
1548303.15 14276429.90 12.24
1548301.45 14276366.68 12.24
1548298.59 14276379.21 12.27
1548315.75 14276451.36 12.27
1548315.19 14276369.53 12.30
1548295.94 14276455.82 12.30
1548309.71 14276369.01 12.30
1548315.75 14276425.28 12.34
1548315.00 14276379.67 12.34
1548306.99 14276415.73 12.34
1548309.09 14276404.31 12.34
1548315.00 14276362.38 12.34
1548312.63 14276356.48 12.40
1548315.65 14276328.20 12.40
1548294.59 14276392.93 12.43
1548304.47 14276438.69 12.43
1548315.46 14276338.53 12.47
1548315.75 14276350.51 12.47
1548307.65 14276421.73 12.47
1548308.40 14276387.84 12.47
1548315.49 14276333.38 12.47
1548315.03 14276390.96 12.47
1548309.19 14276432.07 12.47
1548314.01 14276384.63 12.57
1548299.15 14276390.76 12.60
1548299.05 14276408.61 12.60
1548295.38 14276398.93 12.60
1548295.11 14276384.23 12.66
1548310.50 14276375.05 12.70
1548308.07 14276382.26 12.83
1548313.03 14276343.45 12.86
1548327.63 14276472.75 7.28
1548339.64 14276476.62 7.55
1548334.35 14276473.54 7.58
1548323.13 14276470.62 7.81
1548338.39 14276470.32 9.15
1548331.07 14276468.62 9.42
1548327.53 14276273.14 9.78
1548339.93 14276250.51 9.84
