X Y Z
2309260.78 14058656.35 15.65
2309265.80 14058656.35 15.78
2309270.78 14058661.33 15.78
2309275.80 14058666.35 15.85
2309275.80 14058661.33 15.94
2309270.78 14058651.36 16.04
2309270.78 14058646.34 16.08
2309275.80 14058651.36 16.14
2309275.80 14058636.33 16.21
2309275.80 14058641.35 16.21
2309300.80 14058571.34 14.14
2309290.80 14058611.33 15.16
2309285.78 14058621.34 15.29
2309290.80 14058616.35 15.32
2309295.78 14058601.36 15.35
2309300.80 14058616.35 15.42
2309300.80 14058596.34 15.42
2309295.78 14058621.34 15.45
2309300.80 14058606.35 15.52
2309300.80 14058681.35 15.62
2309295.78 14058626.36 15.75
2309285.78 14058671.34 15.88
2309290.80 14058676.36 15.88
2309290.80 14058671.34 15.91
2309285.78 14058626.36 15.98
2309280.79 14058631.35 16.17
2309285.78 14058661.33 16.17
2309295.78 14058631.35 16.17
2309280.79 14058656.35 16.21
2309295.78 14058666.35 16.27
2309290.80 14058661.33 16.34
2309280.79 14058646.34 16.34
2309300.80 14058666.35 16.37
2309285.78 14058651.36 16.40
2309300.80 14058661.33 16.44
2309285.78 14058636.33 16.44
2309285.78 14058641.35 16.47
2309295.78 14058656.35 16.50
2309290.80 14058651.36 16.50
2309290.80 14058636.33 16.50
2309290.80 14058646.34 16.67
2309300.80 14058646.34 16.73
2309295.78 14058641.35 16.77
2309310.78 14058576.36 13.55
2309305.79 14058561.33 13.65
2309310.78 14058556.35 13.81
2309315.80 14058566.35 13.91
2309315.80 14058561.33 13.91
2309310.78 14058566.35 13.94
2309315.80 14058546.34 14.01
2309325.80 14058551.36 14.01
2309325.80 14058561.33 14.07
2309310.78 14058581.35 14.14
2309320.78 14058556.35 14.14
2309315.80 14058551.36 14.24
2309325.80 14058546.34 14.30
2309325.80 14058531.35 14.37
2309315.80 14058571.34 14.37
2309320.78 14058541.35 14.40
2309320.78 14058566.35 14.44
2309305.79 14058576.36 14.57
2309325.80 14058566.35 14.67
2309310.78 14058586.33 14.73
2309315.80 14058576.36 14.80
2309325.80 14058601.36 14.96
2309320.78 14058611.33 14.99
2309320.78 14058571.34 15.03
2309325.80 14058541.35 15.06
2309305.79 14058591.35 15.09
2309325.80 14058571.34 15.22
2309315.80 14058626.36 15.29
2309320.78 14058601.36 15.29
2309310.78 14058621.34 15.29
2309320.78 14058576.36 15.32
2309315.80 14058581.35 15.32
2309315.80 14058621.34 15.32
2309325.80 14058591.35 15.32
2309305.79 14058601.36 15.32
2309310.78 14058606.35 15.32
2309310.78 14058596.34 15.32
2309320.78 14058596.34 15.35
2309310.78 14058626.36 15.35
2309325.80 14058606.35 15.39
2309305.79 14058611.33 15.42
2309325.80 14058691.35 15.42
2309315.80 14058606.35 15.42
2309320.78 14058616.35 15.42
2309325.80 14058621.34 15.45
2309320.78 14058631.35 15.49
2309325.80 14058626.36 15.49
2309325.80 14058581.35 15.58
2309315.80 14058686.33 15.58
2309310.78 14058686.33 15.68
2309325.80 14058636.33 15.75
2309325.80 14058686.33 15.78
2309310.78 14058631.35 15.85
2309320.78 14058581.35 15.88
2309305.79 14058676.36 15.98
2309320.78 14058681.35 16.01
2309315.80 14058676.36 16.01
2309315.80 14058636.33 16.08
2309325.80 14058646.34 16.11
2309320.78 14058641.35 16.14
2309315.80 14058671.34 16.17
2309320.78 14058651.36 16.17
2309305.79 14058671.34 16.21
2309325.80 14058676.36 16.27
2309315.80 14058656.35 16.37
2309305.79 14058651.36 16.37
2309305.79 14058636.33 16.37
2309310.78 14058666.35 16.44
2309320.78 14058646.34 16.47
2309325.80 14058671.34 16.50
2309310.78 14058641.35 16.50
2309310.78 14058656.35 16.50
2309325.80 14058661.33 16.50
2309315.80 14058666.35 16.57
2309320.78 14058661.33 16.60
2309350.80 14058461.34 13.16
2309350.80 14058466.35 13.62
2309350.80 14058531.35 13.88
2309345.78 14058516.35 13.98
2309335.78 14058551.36 13.98
2309350.80 14058511.33 14.11
2309335.78 14058546.34 14.14
2309345.78 14058511.33 14.17
2309350.80 14058526.36 14.24
2309345.78 14058536.33 14.24
2309340.80 14058596.34 14.24
2309345.78 14058601.36 14.27
2309330.79 14058536.33 14.30
2309350.80 14058521.34 14.30
2309345.78 14058541.35 14.37
2309335.78 14058516.35 14.37
2309330.79 14058551.36 14.40
2309345.78 14058526.36 14.40
2309340.80 14058531.35 14.40
2309340.80 14058546.34 14.40
2309345.78 14058591.35 14.44
2309350.80 14058486.34 14.44
2309350.80 14058496.34 14.44
2309330.79 14058541.35 14.47
2309340.80 14058606.35 14.50
2309345.78 14058496.34 14.57
2309335.78 14058596.34 14.57
2309335.78 14058531.35 14.57
2309335.78 14058556.35 14.60
2309350.80 14058591.35 14.60
2309340.80 14058506.35 14.63
2309340.80 14058516.35 14.67
2309345.78 14058586.33 14.67
2309330.79 14058521.34 14.70
2309350.80 14058546.34 14.70
2309345.78 14058551.36 14.73
2309330.79 14058526.36 14.76
2309330.79 14058561.33 14.76
2309350.80 14058581.35 14.76
2309335.78 14058601.36 14.83
2309345.78 14058501.36 14.83
2309330.79 14058596.34 14.96
2309340.80 14058696.34 15.06
2309350.80 14058601.36 15.06
2309330.79 14058616.35 15.09
2309335.78 14058586.33 15.12
2309350.80 14058646.34 15.12
2309330.79 14058611.33 15.12
2309335.78 14058696.34 15.12
2309340.80 14058556.35 15.12
2309340.80 14058581.35 15.12
2309345.78 14058606.35 15.16
2309345.78 14058576.36 15.19
2309330.79 14058566.35 15.22
2309340.80 14058616.35 15.26
2309350.80 14058621.34 15.29
2309350.80 14058626.36 15.32
2309345.78 14058641.35 15.35
2309340.80 14058691.35 15.39
2309335.78 14058636.33 15.39
2309350.80 14058551.36 15.42
2309330.79 14058631.35 15.42
2309345.78 14058621.34 15.42
2309350.80 14058636.33 15.42
2309340.80 14058646.34 15.42
2309340.80 14058636.33 15.49
2309335.78 14058626.36 15.49
