X Y Z
2320179.16 14058793.75 11.61
2320191.17 14058769.63 11.71
2320182.51 14058797.49 11.78
2320190.77 14058776.69 11.84
2320189.95 14058790.83 12.14
2320187.03 14058780.04 12.40
2320186.21 14058794.14 12.57
2320189.56 14058797.88 12.57
2320190.35 14058783.78 12.73
2320185.82 14058801.20 12.89
2320180.37 14058772.55 12.93
2320183.29 14058783.35 12.99
2320179.59 14058786.70 13.42
2320176.63 14058775.90 13.52
2320186.64 14058787.09 13.62
2320179.98 14058779.64 13.81
2320176.24 14058782.96 14.01
2320216.99 14058813.63 11.55
2320194.51 14058773.38 11.55
2320197.43 14058784.17 11.55
2320197.83 14058777.12 11.61
2320213.64 14058809.89 11.71
2320201.57 14058773.77 11.78
2320193.69 14058787.48 11.84
2320197.01 14058791.22 11.84
2320194.09 14058780.43 11.91
2320209.11 14058827.34 12.04
2320196.61 14058798.28 12.04
2320216.56 14058820.68 12.07
2320203.27 14058805.76 12.11
2320206.59 14058809.50 12.14
2320200.35 14058794.96 12.14
2320199.93 14058802.02 12.17
2320213.58 14058749.69 12.20
2320210.33 14058806.15 12.24
2320215.35 14058841.85 12.27
2320204.49 14058784.56 12.30
2320205.80 14058823.60 12.37
2320213.25 14058816.94 12.37
2320207.01 14058802.41 12.37
2320215.77 14058834.79 12.40
2320213.15 14058756.74 12.43
2320211.54 14058784.99 12.43
2320216.17 14058827.74 12.53
2320204.06 14058791.62 12.57
2320208.72 14058834.40 12.57
2320195.79 14058812.42 12.60
2320209.93 14058813.20 12.60
2320206.19 14058816.55 12.60
2320207.80 14058788.30 12.73
2320217.38 14058806.54 12.73
2320212.85 14058824.00 12.76
2320208.62 14058774.20 12.80
2320217.78 14058799.49 12.93
2320206.10 14058756.35 13.09
2320216.07 14058767.54 13.12
2320195.30 14058759.27 13.16
2320215.68 14058774.59 13.25
2320202.78 14058752.61 13.32
2320211.15 14058792.04 13.32
2320212.76 14058763.80 13.42
2320209.51 14058820.29 13.62
2320202.36 14058759.66 13.65
2320207.41 14058795.36 13.75
2320199.04 14058755.92 13.78
2320205.28 14058770.46 13.85
2320201.96 14058766.72 14.01
2320205.70 14058763.40 14.21
2320209.02 14058767.14 14.60
2320237.66 14058761.70 11.35
2320235.66 14058797.00 11.42
2320230.60 14058761.27 11.48
2320225.65 14058785.78 11.55
2320229.00 14058789.52 11.55
2320235.23 14058804.05 11.55
2320241.40 14058758.35 11.58
2320234.84 14058811.10 11.65
2320237.26 14058768.75 11.68
2320228.57 14058796.57 11.71
2320240.18 14058779.54 11.75
2320226.86 14058764.62 11.78
2320240.58 14058772.49 11.78
2320223.94 14058753.82 11.81
2320231.10 14058814.42 11.81
2320234.44 14058818.16 11.88
2320230.21 14058768.36 11.91
2320221.94 14058789.12 11.91
2320231.00 14058754.22 11.94
2320224.37 14058746.77 11.98
2320218.60 14058785.38 12.01
2320228.18 14058803.62 12.01
2320238.08 14058754.64 12.07
2320241.89 14058811.50 12.11
2320218.99 14058778.33 12.14
2320221.52 14058796.18 12.14
2320241.50 14058818.55 12.17
2320236.94 14058836.01 12.20
2320228.08 14058743.42 12.20
2320219.09 14058838.53 12.24
2320240.28 14058839.75 12.30
2320239.86 14058846.80 12.30
2320236.44 14058782.86 12.34
2320219.91 14058824.42 12.34
2320234.74 14058750.90 12.37
2320219.81 14058764.19 12.37
2320231.42 14058747.16 12.37
2320242.28 14058804.44 12.37
2320237.76 14058821.90 12.37
2320229.88 14058835.61 12.47
2320227.36 14058817.76 12.47
2320223.16 14058767.93 12.50
2320236.15 14058850.15 12.53
2320239.79 14058786.60 12.53
2320228.50 14058736.37 12.57
2320222.43 14058842.27 12.57
2320239.30 14058733.45 12.57
2320218.69 14058845.59 12.57
2320218.20 14058792.44 12.63
2320232.70 14058786.20 12.63
2320241.79 14058751.30 12.66
2320236.87 14058775.80 12.66
2320234.02 14058825.21 12.70
2320233.62 14058832.27 12.73
2320224.44 14058806.97 12.76
2320236.05 14058789.91 12.80
2320241.07 14058825.64 12.80
2320232.80 14058846.41 12.80
2320242.81 14058857.59 12.80
2320238.48 14058747.55 12.83
2320222.83 14058835.22 12.83
2320231.82 14058740.11 12.86
2320229.39 14058782.46 12.89
2320239.07 14058860.91 12.89
2320238.64 14058867.99 12.93
2320235.56 14058736.76 12.99
2320240.68 14058832.69 13.02
2320235.95 14058729.71 13.06
2320221.61 14058856.38 13.06
2320227.78 14058810.71 13.16
2320224.93 14058860.12 13.16
2320242.22 14058744.24 13.22
2320231.19 14058874.62 13.22
2320226.57 14058831.87 13.35
2320231.59 14058867.57 13.42
2320229.78 14058775.41 13.45
2320222.73 14058774.98 13.48
2320225.75 14058845.98 13.52
2320232.41 14058853.46 13.52
2320226.96 14058824.82 13.55
2320233.13 14058779.12 13.62
2320242.71 14058797.39 13.62
2320239.36 14058793.65 13.65
2320229.09 14058849.72 13.68
2320222.01 14058849.33 13.75
2320228.67 14058856.77 13.78
2320232.01 14058860.51 13.81
2320236.34 14058722.65 13.88
2320239.69 14058726.39 14.04
2320223.22 14058828.13 14.21
2320247.66 14058772.88 11.12
2320248.06 14058765.83 11.15
2320244.71 14058762.09 11.25
2320250.98 14058776.62 11.29
2320254.72 14058773.28 11.35
2320243.92 14058776.20 11.35
2320247.24 14058779.94 11.48
2320257.64 14058784.07 11.48
2320251.80 14058762.48 11.58
2320250.58 14058783.68 11.61
2320253.90 14058787.42 11.68
2320264.69 14058784.50 11.75
2320265.08 14058777.41 11.75
2320264.20 14058731.35 11.75
2320261.67 14058713.47 11.91
2320264.36 14058851.75 11.91
2320264.59 14058724.26 11.94
2320260.85 14058727.61 11.94
2320265.41 14058710.15 11.94
2320243.50 14058783.28 11.94
2320263.08 14058812.71 11.94
2320264.30 14058791.55 11.98
2320263.81 14058738.40 11.98
2320260.46 14058734.66 12.01
2320267.71 14058855.49 12.04
2320253.50 14058794.47 12.04
2320256.82 14058798.21 12.07
2320257.93 14058716.81 12.11
2320263.97 14058858.81 12.11
2320265.02 14058717.21 12.14
2320259.74 14058808.97 12.17
2320262.66 14058819.77 12.20
2320250.16 14058790.73 12.24
2320261.44 14058840.96 12.24
2320246.84 14058786.99 12.24
2320267.22 14058802.34 12.30
2320245.14 14058755.04 12.30
2320260.07 14058741.72 12.34
2320249.37 14058804.84 12.37
2320260.56 14058794.86 12.37
2320257.31 14058851.36 12.37
2320256.00 14058812.32 12.40
2320245.63 14058808.18 12.43
2320245.24 14058815.24 12.43
2320265.18 14058837.61 12.43
2320243.20 14058850.54 12.50
2320254.39 14058840.57 12.57
2320265.81 14058703.10 12.57
2320253.80 14058727.18 12.60
2320256.72 14058737.97 12.63
2320266.89 14058869.60 12.66
2320244.02 14058836.43 12.70
2320258.52 14058830.17 12.70
2320244.81 14058822.29 12.70
2320260.16 14058801.92 12.70
2320250.88 14058716.42 12.73
2320255.50 14058759.17 12.73
2320265.90 14058763.30 12.73
2320256.52 14058865.47 12.83
2320262.16 14058766.62 12.83
2320251.08 14058836.83 12.83
2320266.30 14058756.25 12.86
2320249.76 14058797.78 12.86
2320265.58 14058830.56 12.93
2320246.74 14058726.79 12.93
2320256.32 14058745.06 12.96
2320248.88 14058751.69 12.99
2320243.10 14058790.34 12.99
2320248.16 14058826.03 13.02
2320266.50 14058876.66 13.02
2320263.58 14058865.86 13.06
2320266.07 14058883.71 13.06
2320263.48 14058805.66 13.09
2320259.44 14058876.26 13.12
2320250.06 14058730.53 13.19
2320262.99 14058752.51 13.19
2320258.95 14058823.11 13.22
2320253.57 14058854.67 13.22
2320250.65 14058843.88 13.29
2320248.55 14058818.98 13.32
2320255.60 14058819.37 13.35
2320255.93 14058752.12 13.39
2320266.79 14058809.40 13.42
2320253.01 14058741.32 13.45
2320259.84 14058869.21 13.48
2320247.73 14058833.09 13.48
2320256.92 14058858.41 13.52
2320245.73 14058868.39 13.65
2320262.76 14058880.00 13.71
2320252.58 14058748.38 13.81
2320243.43 14058723.05 13.81
2320246.94 14058847.19 13.88
2320246.52 14058854.28 13.94
2320243.82 14058715.99 14.04
2320249.66 14058737.58 14.04
2320253.18 14058861.73 14.04
2320249.27 14058744.64 14.14
2320278.01 14058799.42 11.15
2320270.92 14058799.00 11.29
2320278.40 14058792.34 11.32
2320285.85 14058785.71 11.45
2320274.66 14058795.68 11.48
2320292.51 14058793.16 11.52
2320274.27 14058802.74 11.58
2320279.62 14058771.18 11.65
2320276.37 14058827.64 11.68
2320290.71 14058700.97 11.75
2320289.59 14058782.36 11.75
2320276.80 14058820.59 11.78
2320274.17 14058742.54 11.78
2320269.71 14058820.19 11.78
2320284.08 14058693.52 11.81
2320282.54 14058781.97 11.84
2320291.63 14058747.06 11.84
2320267.94 14058728.00 11.84
2320273.45 14058816.85 11.88
2320277.58 14058806.48 11.88
2320286.38 14058838.83 11.91
2320268.43 14058781.15 11.91
2320279.72 14058831.38 11.94
2320292.12 14058800.21 11.94
2320271.35 14058791.94 11.98
2320277.52 14058746.28 12.01
2320283.65 14058700.57 12.01
2320285.46 14058792.76 12.04
2320287.00 14058704.31 12.07
2320268.82 14058774.10 12.07
2320276.70 14058760.38 12.07
2320270.43 14058745.85 12.07
2320275.88 14058774.49 12.07
2320286.77 14058831.77 12.07
2320291.13 14058693.91 12.11
2320287.89 14058750.41 12.14
2320274.37 14058862.94 12.14
2320274.99 14058728.39 12.17
2320280.93 14058810.19 12.20
2320288.81 14058796.47 12.20
2320289.69 14058842.57 12.20
2320272.96 14058763.70 12.20
2320273.35 14058756.64 12.27
2320268.10 14058848.41 12.27
2320278.31 14058732.14 12.30
2320277.19 14058813.53 12.30
2320285.95 14058845.91 12.30
2320278.80 14058785.28 12.30
2320281.65 14058735.88 12.34
2320274.76 14058855.89 12.34
2320273.78 14058749.59 12.34
2320283.03 14058835.12 12.37
2320270.63 14058866.29 12.37
2320274.57 14058735.48 12.40
2320286.44 14058899.06 12.40
2320269.32 14058827.25 12.40
2320277.68 14058866.68 12.40
2320273.55 14058877.05 12.40
2320284.57 14058746.67 12.43
2320286.87 14058891.98 12.43
2320292.61 14058853.36 12.43
2320269.22 14058767.04 12.47
2320286.57 14058711.37 12.47
2320283.36 14058767.83 12.47
2320276.60 14058700.18 12.47
2320275.39 14058721.34 12.47
2320282.05 14058728.82 12.47
2320275.98 14058834.69 12.50
2320286.18 14058718.42 12.50
2320285.79 14058725.47 12.50
2320272.24 14058838.04 12.53
2320269.81 14058880.40 12.53
2320273.16 14058884.14 12.53
2320279.78 14058891.58 12.53
2320280.21 14058884.53 12.57
2320281.23 14058742.93 12.57
2320287.49 14058757.46 12.60
2320281.00 14058870.42 12.60
2320285.07 14058799.82 12.63
2320288.87 14058856.71 12.63
2320279.23 14058778.23 12.63
2320279.95 14058703.92 12.63
2320290.81 14058761.20 12.66
2320289.10 14058729.22 12.70
2320272.14 14058777.84 12.70
2320291.30 14058814.35 12.70
2320268.92 14058834.30 12.70
2320271.84 14058845.09 12.73
2320283.85 14058820.98 12.76
2320291.53 14058686.86 12.76
2320269.55 14058699.75 12.76
2320282.64 14058842.17 12.80
2320280.60 14058877.48 12.80
2320287.26 14058884.92 12.86
2320287.66 14058877.87 12.86
2320272.73 14058891.19 12.89
2320288.71 14058736.27 12.89
2320284.24 14058813.93 12.93
2320288.21 14058683.12 12.93
2320290.41 14058768.26 12.96
2320279.39 14058898.64 12.96
2320290.02 14058775.31 12.99
2320290.90 14058821.41 12.99
2320287.98 14058810.61 12.99
2320279.13 14058718.03 13.02
2320285.36 14058732.56 13.02
2320280.83 14058749.98 13.02
2320288.48 14058863.76 13.02
2320284.15 14058753.72 13.02
2320269.15 14058706.84 13.09
2320282.21 14058849.23 13.12
2320281.42 14058863.34 13.19
2320288.08 14058870.82 13.19
2320275.78 14058714.29 13.22
2320275.16 14058848.83 13.25
2320284.74 14058867.08 13.29
2320275.49 14058781.54 13.32
2320288.61 14058676.07 13.35
2320283.75 14058760.78 13.35
2320281.82 14058856.28 13.42
2320288.38 14058803.56 13.42
2320279.52 14058710.97 13.45
2320290.51 14058828.46 13.48
2320279.00 14058905.69 13.52
2320287.07 14058764.52 13.55
2320272.47 14058710.55 14.30
2320313.94 14058666.91 10.86
2320299.17 14058800.64 10.93
2320310.20 14058670.23 10.93
2320314.82 14058712.97 11.02
2320314.00 14058727.12 11.06
2320299.57 14058793.55 11.09
2320311.08 14058716.32 11.15
2320301.99 14058751.20 11.35
2320314.33 14058659.83 11.35
2320295.43 14058803.95 11.35
2320294.94 14058750.80 11.38
2320310.69 14058723.38 11.42
2320316.43 14058684.76 11.42
2320307.77 14058712.58 11.42
2320292.94 14058786.10 11.45
2320306.46 14058673.54 11.48
2320309.80 14058677.28 11.52
2320317.35 14058730.82 11.52
2320301.60 14058758.25 11.55
2320301.21 14058765.34 11.61
2320297.86 14058761.60 11.68
2320302.91 14058797.29 11.75
2320299.07 14058740.40 11.75
2320305.83 14058808.09 11.78
