X Y Z
2032976.61 14056421.35 16.60
2032967.52 14056366.33 16.67
2032971.13 14056371.44 16.73
2032975.36 14056412.72 16.77
2032958.01 14056370.43 16.83
2032970.70 14056417.01 16.90
2032971.10 14056410.09 16.93
2032977.20 14056428.89 17.13
2032963.19 14056374.82 17.16
2032969.00 14056380.43 17.19
2032975.07 14056362.39 17.19
2032975.49 14056379.48 17.42
2032967.49 14056387.49 17.45
2032976.71 14056404.02 17.49
2032977.36 14056435.22 17.49
2032975.82 14056397.69 17.52
2032973.00 14056387.68 17.55
2032972.34 14056392.90 17.59
2032977.59 14056389.75 17.68
2032994.26 14056372.69 16.21
2032980.25 14056361.44 16.31
2033000.30 14056377.71 16.37
2033000.46 14056386.50 16.44
2032995.93 14056380.99 16.54
2032985.89 14056363.31 16.54
2032989.40 14056370.13 16.63
2032987.60 14056357.93 16.73
2033002.40 14056504.71 16.77
2032998.79 14056508.88 16.80
2032984.52 14056411.70 16.93
2032996.10 14056499.89 16.93
2032994.92 14056385.95 16.96
2032987.37 14056405.89 16.96
2033002.40 14056403.50 16.96
2032980.87 14056369.57 16.99
2032994.78 14056360.19 17.03
2032981.66 14056406.55 17.06
2032982.84 14056399.30 17.13
2032988.88 14056384.50 17.19
2032980.58 14056375.84 17.19
2032996.16 14056352.91 17.19
2033001.90 14056420.82 17.19
2032994.46 14056494.44 17.22
2032991.93 14056412.68 17.26
2032986.61 14056394.93 17.26
2032996.46 14056402.05 17.32
2032982.87 14056444.54 17.32
2032993.96 14056443.36 17.36
2032996.46 14056420.30 17.39
2033001.94 14056408.85 17.39
2032997.31 14056392.15 17.45
2033001.51 14056354.84 17.49
2032990.95 14056419.64 17.52
2032982.97 14056450.61 17.52
2032994.32 14056450.28 17.59
2032990.78 14056433.88 17.62
2032982.58 14056381.16 17.68
2032999.18 14056413.37 17.72
2032999.94 14056478.79 17.72
2032996.06 14056488.60 17.72
2032990.55 14056379.29 17.85
2032985.37 14056428.92 17.85
2032999.94 14056365.24 17.85
2032983.43 14056390.83 17.88
2032991.40 14056399.10 17.91
2032989.90 14056479.29 17.98
2032996.65 14056473.08 18.01
2033001.74 14056473.08 18.01
2032996.49 14056408.48 18.04
2033001.64 14056452.35 18.08
2033000.03 14056468.13 18.08
2032991.54 14056473.18 18.08
2033001.18 14056488.67 18.11
2032984.94 14056439.88 18.11
2032993.24 14056467.31 18.21
2032986.98 14056469.61 18.27
2032985.70 14056421.74 18.27
2032987.60 14056459.83 18.31
2033002.07 14056462.82 18.34
2032996.16 14056428.73 18.50
