X Y Z
1551019.58 14276664.94 10.01
1551013.78 14276663.73 10.17
1551006.07 14276664.28 10.17
1551010.50 14276659.59 11.02
1551019.75 14276511.96 11.09
1551021.62 14276517.83 11.22
1551003.57 14276658.64 11.35
1551019.03 14276503.36 11.55
1551022.44 14276657.69 11.55
1551019.09 14276352.57 11.94
1551021.85 14276347.42 11.98
1551021.82 14276356.81 12.01
1551021.59 14276525.18 12.01
1551016.89 14276358.28 12.34
1551017.78 14276340.53 12.47
1551012.14 14276347.82 12.47
1551019.75 14276363.76 12.47
1551010.50 14276353.62 12.53
1551021.59 14276335.22 12.63
1551018.47 14276376.33 12.73
1551012.01 14276342.30 12.76
1551018.86 14276371.27 12.80
1551020.08 14276381.54 12.83
1551012.04 14276363.89 13.02
1551012.20 14276371.01 13.12
1551020.57 14276390.27 13.19
1551022.50 14276398.18 13.25
1551014.53 14276381.74 13.32
1551018.76 14276327.90 13.39
1551017.12 14276394.30 13.62
1551011.48 14276654.97 13.65
1551018.31 14276402.87 13.71
1551011.28 14276334.13 13.75
1551022.44 14276317.11 13.91
1551018.40 14276602.31 14.01
1551009.74 14276385.35 14.04
1551013.02 14276605.33 14.04
1551011.45 14276398.60 14.07
1551014.11 14276322.26 14.11
1551002.95 14276622.32 14.14
1551015.39 14276620.55 14.17
1551019.45 14276608.48 14.17
1551010.56 14276390.43 14.21
1551015.32 14276596.70 14.21
1551004.07 14276651.82 14.24
1551004.53 14276632.95 14.27
1551013.71 14276614.84 14.27
1551019.65 14276616.68 14.30
1551022.08 14276644.90 14.30
1551010.66 14276582.43 14.34
1551016.53 14276625.47 14.34
1551004.53 14276615.14 14.40
1551011.68 14276644.80 14.47
1551021.23 14276589.19 14.50
1551021.55 14276633.15 14.50
1551003.18 14276593.52 14.57
1551012.40 14276406.41 14.60
1551013.32 14276639.19 14.60
1551018.99 14276649.16 14.63
1551012.20 14276628.82 14.67
1551015.88 14276588.50 14.70
1551005.84 14276585.51 14.70
1551019.35 14276583.18 14.70
1551010.96 14276591.09 14.76
1551013.09 14276634.04 14.76
1551004.07 14276601.36 14.80
1551009.51 14276619.76 14.86
1551010.07 14276575.77 14.86
1551009.22 14276611.50 14.89
1551014.93 14276579.77 14.93
1551007.54 14276625.90 14.96
1551006.03 14276638.43 15.06
1551018.93 14276415.89 15.06
1551021.65 14276594.57 15.09
1551014.04 14276411.96 15.19
1551004.66 14276643.45 15.26
1551008.36 14276570.72 15.35
1551020.01 14276421.40 15.39
1551009.45 14276565.83 15.42
1551019.39 14276573.34 15.45
1551004.49 14276578.85 15.49
1551014.73 14276570.22 15.62
1551008.33 14276302.97 15.88
1551011.91 14276419.17 15.91
1551020.04 14276567.17 15.98
1551010.92 14276317.60 16.01
1551004.16 14276573.37 16.01
1551015.39 14276427.15 16.34
1551014.70 14276432.56 16.80
1551002.66 14276564.97 16.83
1551014.89 14276439.22 16.99
1551008.76 14276323.64 16.99
1551010.30 14276310.87 17.13
1551013.61 14276295.81 17.13
1551044.16 14276665.04 9.42
1551042.26 14276659.92 9.88
1551035.79 14276664.48 9.88
1551025.13 14276663.86 10.24
1551028.61 14276670.35 10.66
1551023.69 14276534.69 11.25
1551047.54 14276486.76 11.32
1551044.29 14276479.61 11.42
1551046.16 14276493.25 11.42
1551044.85 14276473.24 11.48
1551044.39 14276347.78 11.52
1551037.83 14276352.15 11.55
1551045.11 14276468.19 11.58
1551025.03 14276508.61 11.61
1551036.38 14276358.05 11.65
1551040.12 14276340.56 11.68
1551041.83 14276335.74 11.68
1551043.08 14276356.15 11.68
1551035.86 14276366.12 11.71
1551041.43 14276374.00 11.71
1551030.90 14276356.41 11.78
1551029.66 14276514.81 11.78
1551029.69 14276350.54 11.78
1551026.11 14276522.16 11.81
1551037.73 14276378.66 11.84
1551041.04 14276327.47 11.88
1551043.50 14276655.10 11.88
1551040.58 14276643.22 11.88
1551046.03 14276364.88 11.88
1551025.33 14276353.10 11.88
1551035.56 14276510.58 11.88
1551043.37 14276386.76 11.98
1551032.58 14276339.81 11.98
1551044.42 14276463.01 12.01
1551026.02 14276361.14 12.01
1551028.51 14276658.28 12.01
1551044.52 14276447.98 12.07
1551036.42 14276386.04 12.07
1551024.34 14276542.37 12.11
1551044.52 14276433.38 12.14
1551030.81 14276520.39 12.17
1551045.93 14276456.90 12.17
1551027.69 14276373.24 12.17
1551025.26 14276503.10 12.20
1551030.48 14276381.05 12.24
1551025.42 14276338.63 12.27
1551030.15 14276334.63 12.27
1551032.15 14276501.59 12.27
1551046.95 14276396.08 12.27
1551041.14 14276392.07 12.30
1551046.09 14276401.06 12.34
1551039.17 14276499.62 12.34
1551028.87 14276530.98 12.37
1551031.20 14276389.22 12.47
1551032.58 14276326.23 12.53
1551025.03 14276382.79 12.53
1551032.51 14276495.58 12.53
1551028.08 14276538.56 12.57
1551024.05 14276496.04 12.66
1551035.46 14276396.93 12.66
1551035.00 14276656.38 12.70
1551026.34 14276328.26 12.73
1551045.57 14276500.21 12.76
1551044.45 14276506.05 12.80
1551038.15 14276403.62 12.80
1551028.87 14276321.24 12.80
1551038.81 14276516.22 12.83
1551025.59 14276390.17 12.83
1551029.79 14276397.85 12.93
1551023.65 14276490.83 13.02
1551039.43 14276409.17 13.09
1551038.58 14276489.29 13.16
1551047.44 14276124.75 13.29
1551029.59 14276548.54 13.32
1551025.88 14276403.46 13.39
1551045.34 14276648.67 13.39
1551043.04 14276413.96 13.42
1551039.24 14276604.15 13.42
1551041.34 14276557.53 13.45
1551046.06 14276130.39 13.45
1551037.07 14276612.15 13.55
1551045.50 14276512.09 13.55
1551044.65 14276639.91 13.55
1551042.35 14276564.61 13.58
1551047.47 14276565.43 13.58
1551042.09 14276611.89 13.68
1551042.16 14276623.47 13.68
1551034.74 14276556.58 13.75
1551047.21 14276164.94 13.78
1551031.85 14276413.20 13.78
1551042.81 14276551.33 13.81
1551026.28 14276408.97 13.85
1551046.78 14276145.13 13.88
1551035.43 14276548.24 13.91
1551041.24 14276419.53 13.94
1551041.34 14276618.12 14.01
1551045.31 14276571.86 14.01
1551047.50 14276135.78 14.01
1551038.61 14276524.26 14.07
1551033.36 14276644.60 14.11
1551033.04 14276608.97 14.11
1551046.52 14276559.17 14.14
1551040.29 14276630.79 14.14
1551022.64 14276652.83 14.14
1551037.73 14276561.14 14.14
1551046.36 14276543.16 14.14
1551045.14 14276597.19 14.14
1551028.18 14276579.54 14.17
1551045.18 14276519.70 14.17
1551029.53 14276618.32 14.17
1551026.24 14276555.89 14.21
1551029.85 14276653.10 14.21
1551031.85 14276624.65 14.27
1551039.14 14276636.14 14.27
1551034.48 14276594.01 14.27
1551025.79 14276636.89 14.37
1551033.40 14276632.03 14.37
1551024.18 14276623.24 14.37
1551033.50 14276574.19 14.40
1551035.20 14276425.47 14.40
1551041.99 14276578.69 14.47
1551023.88 14276603.52 14.47
