X Y Z
1723386.99 14156123.22 10.96
1723384.50 14156115.38 11.15
1723379.35 14156120.13 11.25
1723389.16 14156110.62 11.38
1723383.81 14156130.57 11.88
1723391.59 14156099.92 11.98
1723384.21 14156108.78 12.01
1723373.41 14156118.26 12.11
1723385.55 14156138.54 12.20
1723376.17 14156113.44 12.30
1723384.50 14156102.51 12.70
1723378.73 14156108.42 12.73
1723392.57 14156144.97 13.22
1723391.46 14156150.61 13.55
1723376.59 14156103.47 13.94
1723415.37 14156096.22 10.83
1723408.58 14156095.39 10.89
1723396.15 14156105.86 10.93
1723395.82 14156111.80 11.02
1723412.78 14156088.21 11.15
1723411.93 14156100.41 11.32
1723415.47 14156112.32 11.45
1723415.90 14156082.99 11.48
1723404.71 14156101.04 11.55
1723405.73 14156090.64 11.65
1723417.34 14156102.88 11.65
1723405.40 14156111.73 11.68
1723411.67 14156117.77 11.71
1723401.96 14156095.92 11.71
1723399.20 14156100.87 11.75
1723410.42 14156083.26 11.84
1723411.76 14156106.52 11.88
1723412.72 14156123.38 11.88
1723398.90 14156140.77 12.04
1723399.40 14156134.90 12.14
1723405.30 14156121.51 12.34
1723405.86 14156127.84 12.34
1723410.09 14156131.12 12.37
1723415.83 14156068.20 12.47
1723405.63 14156133.91 12.60
1723404.88 14156145.13 12.66
1723395.26 14156131.12 12.73
1723395.85 14156154.02 12.76
1723409.30 14156077.84 12.89
1723393.59 14156121.35 12.93
1723404.05 14156083.35 13.06
1723416.06 14156134.60 13.19
1723400.81 14156151.40 13.22
1723411.63 14156072.43 13.35
1723399.20 14156158.91 13.52
1723417.44 14156062.19 13.62
1723397.36 14156125.48 13.65
1723414.23 14156141.42 13.68
1723407.83 14156139.19 13.75
1723414.29 14156147.49 13.98
1723395.75 14156090.41 14.11
1723404.38 14156157.50 14.27
1723399.30 14156167.02 14.53
1723408.88 14156150.41 14.53
1723410.65 14156155.14 14.73
1723408.94 14156162.32 15.88
1723405.60 14156169.41 16.44
1723414.82 14156162.13 17.55
1723416.85 14156201.37 17.62
1723415.37 14156183.65 18.18
1723415.34 14156172.07 18.27
1723409.99 14156179.19 19.91
1723410.09 14156188.57 19.91
1723440.37 14156053.43 8.69
1723435.81 14156056.55 8.92
1723433.81 14156062.39 9.38
1723427.78 14156075.91 9.42
1723429.84 14156071.15 9.68
1723430.63 14156057.40 9.74
1723440.37 14156079.88 9.88
1723435.29 14156074.33 9.97
1723433.78 14156048.71 10.07
1723441.49 14156066.10 10.24
1723423.94 14156083.42 10.30
1723443.03 14156086.67 10.30
1723440.83 14156036.57 10.50
1723435.55 14156043.36 10.53
1723424.59 14156067.25 10.56
1723438.18 14156088.80 10.56
1723430.53 14156080.70 10.56
1723419.77 14156075.78 10.63
1723431.06 14156095.03 10.70
1723436.08 14156083.09 10.89
1723428.69 14156089.46 11.02
1723441.03 14156093.46 11.09
1723431.12 14156102.94 11.12
1723418.43 14156088.01 11.19
1723422.56 14156099.92 11.19
1723420.92 14156107.14 11.25
1723426.00 14156107.17 11.29
1723421.21 14156112.42 11.32
1723426.92 14156053.40 11.35
1723440.24 14156110.16 11.68
1723433.81 14156121.84 11.81
1723436.01 14156126.83 11.91
1723423.97 14156116.95 11.94
1723441.72 14156116.95 12.37
1723421.94 14156059.08 12.37
1723434.47 14156112.55 12.37
1723442.90 14156122.79 12.50
1723438.41 14156133.29 12.50
1723436.04 14156107.30 12.50
1723429.38 14156125.41 12.70
1723430.76 14156140.57 12.83
1723442.01 14156100.32 12.93
1723431.35 14156116.62 12.96
1723419.70 14156125.28 13.06
1723428.43 14156136.01 13.22
1723434.83 14156145.03 13.25
1723434.50 14156151.92 13.52
1723425.94 14156152.65 13.81
1723435.39 14156160.72 13.94
1723439.13 14156141.20 13.98
1723424.69 14156147.43 14.04
1723425.61 14156158.35 14.07
1723439.29 14156147.72 14.07
1723422.20 14156138.83 14.30
1723436.73 14156178.30 14.53
1723438.34 14156167.28 14.57
1723443.16 14156254.02 14.83
1723433.16 14156183.65 14.93
1723428.17 14156178.60 15.03
1723430.20 14156173.48 15.06
1723435.03 14156195.59 15.09
1723428.10 14156193.66 15.12
1723419.38 14156144.61 15.16
1723428.33 14156187.49 15.16
1723432.96 14156201.20 15.19
1723442.90 14156170.99 15.19
1723440.05 14156186.18 15.42
1723425.87 14156164.72 15.42
1723432.50 14156165.90 15.42
1723424.33 14156219.71 15.52
1723424.04 14156170.89 15.62
1723432.24 14156207.70 15.65
1723420.20 14156151.76 15.65
1723440.01 14156200.71 15.75
1723441.29 14156194.31 15.75
1723428.14 14156214.26 15.78
1723441.46 14156246.81 15.78
1723438.67 14156207.27 15.85
1723425.28 14156200.94 15.85
1723429.35 14156219.31 16.01
1723436.57 14156216.98 16.11
1723421.21 14156175.09 16.24
1723432.50 14156234.14 16.31
1723436.04 14156224.43 16.70
1723442.15 14156240.57 16.73
1723420.26 14156197.13 16.93
1723419.87 14156190.47 17.22
1723441.82 14156232.30 18.50
1723440.96 14156227.19 20.21
1723444.28 14156050.09 8.43
1723451.82 14156047.76 8.76
1723464.95 14156020.03 8.86
1723445.23 14156042.15 8.92
1723460.62 14156023.77 9.09
1723467.15 14156010.91 9.22
1723452.41 14156037.72 9.25
1723465.34 14156026.37 9.32
1723459.37 14156018.75 9.38
1723457.53 14156033.85 9.48
1723455.53 14156027.94 9.61
