X Y Z
2113161.62 14056515.24 13.48
2113146.99 14056541.95 13.55
2113164.08 14056506.22 13.68
2113144.53 14056548.15 13.88
2113154.47 14056544.93 13.88
2113157.42 14056555.76 13.88
2113151.25 14056549.59 13.91
2113156.73 14056521.61 13.94
2113160.11 14056541.19 14.30
2113158.54 14056535.32 14.44
2113162.51 14056556.38 14.47
2113148.50 14056535.65 14.47
2113161.92 14056529.51 14.67
2113152.14 14056530.33 14.80
2113157.36 14056526.56 14.93
2113163.20 14056547.99 15.52
2113151.09 14056558.39 15.85
2113189.41 14056489.49 13.22
2113182.03 14056561.90 13.32
2113176.32 14056566.19 13.32
2113185.87 14056567.64 13.42
2113166.41 14056513.50 13.48
2113176.81 14056560.78 13.48
2113183.27 14056556.42 13.62
2113186.56 14056481.88 13.68
2113188.66 14056559.96 13.68
2113184.65 14056572.59 13.75
2113187.54 14056498.90 13.75
2113170.71 14056563.24 13.75
2113169.56 14056508.32 13.78
2113183.54 14056486.57 13.81
2113168.38 14056500.91 13.98
2113188.66 14056554.28 14.01
2113169.00 14056495.20 14.11
2113175.11 14056498.58 14.21
2113173.73 14056505.30 14.30
2113180.72 14056550.71 14.30
2113186.49 14056535.26 14.40
2113173.69 14056553.33 14.44
2113164.87 14056563.57 14.44
2113185.47 14056548.97 14.47
2113167.43 14056519.90 14.60
2113187.97 14056525.58 14.67
2113184.69 14056503.69 14.67
2113180.52 14056494.05 14.67
2113185.80 14056542.47 14.70
2113188.62 14056507.30 14.96
2113182.16 14056532.20 14.96
2113177.30 14056511.34 14.99
2113180.19 14056543.79 15.22
2113172.71 14056546.48 15.29
2113185.01 14056518.49 15.29
2113178.98 14056516.19 15.49
2113188.95 14056515.05 15.62
2113177.86 14056528.86 15.81
2113175.24 14056541.98 15.98
2113177.21 14056536.44 16.08
2113164.74 14056541.72 16.14
2113173.73 14056522.72 16.31
2113167.23 14056531.06 16.37
2113171.76 14056534.53 17.03
2113212.51 14056589.09 13.12
2113214.08 14056580.37 13.29
2113191.61 14056481.45 13.71
2113207.82 14056584.53 13.71
2113198.40 14056531.55 13.85
2113189.93 14056476.56 13.88
2113213.88 14056574.36 13.88
2113192.79 14056579.06 13.98
2113200.37 14056523.97 14.04
2113193.05 14056535.26 14.14
2113208.21 14056575.22 14.17
2113193.97 14056549.17 14.21
2113203.98 14056477.51 14.27
2113202.53 14056583.32 14.27
2113193.97 14056571.87 14.27
2113208.70 14056469.61 14.34
2113198.83 14056480.37 14.34
2113198.73 14056556.78 14.37
2113205.55 14056519.74 14.37
2113193.18 14056542.77 14.40
2113191.35 14056470.33 14.40
2113210.21 14056568.88 14.40
2113201.12 14056551.53 14.44
2113208.21 14056501.14 14.50
2113202.20 14056544.54 14.53
2113208.54 14056554.38 14.57
2113203.19 14056470.13 14.57
2113210.96 14056514.16 14.70
2113197.38 14056576.69 14.73
2113204.86 14056537.09 14.76
2113210.47 14056547.46 14.76
2113203.94 14056561.08 14.80
2113210.67 14056523.18 14.80
2113196.92 14056473.58 14.83
2113196.92 14056458.68 14.83
2113205.16 14056567.97 14.89
2113207.72 14056527.58 14.89
2113204.17 14056532.11 14.93
2113206.34 14056463.93 14.99
2113206.86 14056453.96 15.12
2113192.72 14056495.16 15.12
2113212.34 14056497.85 15.19
2113202.27 14056515.83 15.26
2113195.84 14056467.47 15.29
2113194.72 14056520.03 15.29
2113212.93 14056556.65 15.39
2113206.83 14056447.00 15.65
2113199.19 14056499.99 15.65
2113210.64 14056458.85 15.68
2113201.94 14056451.10 15.68
2113211.10 14056443.39 15.85
2113212.28 14056484.70 15.85
2113212.15 14056452.58 15.85
2113207.32 14056489.95 15.88
2113205.35 14056484.40 15.91
2113206.31 14056441.59 15.94
2113196.56 14056489.98 15.98
2113201.55 14056491.65 16.11
2113210.08 14056436.37 16.17
2113203.35 14056508.16 16.96
2113192.72 14056510.75 17.55
2113197.78 14056512.16 17.95
2113230.26 14056582.01 13.02
2113222.94 14056588.57 13.22
2113224.45 14056583.52 13.25
2113229.17 14056599.13 13.32
2113217.43 14056593.06 13.32
2113233.77 14056578.20 13.42
2113239.05 14056555.60 13.45
2113235.47 14056565.08 13.52
2113236.19 14056572.36 13.55
2113233.90 14056553.92 13.62
2113231.57 14056587.82 13.71
2113224.38 14056571.31 13.81
2113221.17 14056576.63 13.91
2113235.87 14056607.04 13.98
2113234.32 14056594.80 14.01
2113217.72 14056566.42 14.21
2113221.56 14056560.49 14.27
2113230.98 14056561.90 14.27
2113236.85 14056542.90 14.27
2113217.53 14056504.58 14.44
2113228.88 14056492.67 14.47
2113221.30 14056555.14 14.47
2113220.22 14056599.99 14.50
2113215.33 14056561.80 14.50
2113222.28 14056488.47 14.57
2113228.62 14056554.68 14.57
2113224.91 14056565.01 14.67
2113231.50 14056488.21 14.67
2113217.49 14056516.85 14.70
2113216.15 14056521.87 14.73
2113221.40 14056495.00 14.76
2113238.39 14056532.37 14.80
2113231.60 14056537.55 14.83
2113226.61 14056542.54 14.86
2113230.58 14056481.71 14.86
2113219.33 14056499.89 14.86
2113220.68 14056512.16 14.89
2113225.07 14056547.36 14.89
2113228.45 14056500.15 14.93
2113222.81 14056482.40 14.96
2113218.97 14056550.35 14.99
2113235.90 14056482.73 15.03
2113216.05 14056492.21 15.03
2113236.78 14056586.73 15.12
2113228.88 14056531.94 15.32
2113237.38 14056506.68 15.32
