X Y Z
2004331.65 14058789.68 13.02
2004336.67 14058791.39 13.09
2004342.45 14058793.81 13.45
2004340.38 14058786.53 13.85
2004335.26 14058785.42 13.98
2004337.33 14058780.23 16.11
2004328.53 14058778.26 16.90
2004333.98 14058775.61 17.95
2004334.67 14058770.82 20.34
2004325.42 14058770.55 20.54
2004341.13 14058765.30 21.78
2004327.26 14058765.53 21.95
2004333.36 14058765.80 22.21
2004335.79 14058721.73 22.44
2004342.18 14058724.88 22.87
2004332.05 14058760.94 22.97
2004342.45 14058730.40 23.06
2004333.46 14058732.50 23.10
2004344.64 14058737.52 23.20
2004336.51 14058736.79 23.20
2004328.50 14058755.66 23.56
2004332.41 14058741.32 23.75
2004337.69 14058756.12 23.85
2004333.19 14058751.92 24.28
2004332.08 14058746.31 24.87
2004337.89 14058747.52 25.10
2004348.09 14058791.68 13.58
2004345.82 14058785.94 13.71
2004355.01 14058780.99 13.75
2004356.75 14058790.30 13.85
2004362.33 14058781.61 13.91
2004363.31 14058796.70 13.98
2004355.60 14058797.16 14.11
2004367.84 14058781.97 14.11
2004361.67 14058791.16 14.17
2004347.07 14058779.51 14.30
2004368.46 14058799.29 14.34
2004364.72 14058786.99 14.47
2004366.20 14058775.64 14.80
2004359.87 14058776.30 15.42
2004351.99 14058776.56 17.16
2004370.40 14058770.88 18.83
2004359.80 14058770.82 19.39
2004352.45 14058770.39 19.39
2004345.50 14058770.09 19.69
2004356.62 14058765.73 21.36
2004362.20 14058765.14 21.39
2004367.81 14058689.55 21.42
2004368.40 14058765.63 21.46
2004351.07 14058765.73 21.59
2004366.69 14058713.07 21.69
2004368.82 14058697.00 21.88
2004361.28 14058712.29 21.92
2004368.23 14058702.12 21.95
2004369.61 14058679.51 21.95
2004361.87 14058699.43 21.98
2004360.69 14058706.18 21.98
2004366.92 14058707.99 22.01
2004368.43 14058660.97 22.05
2004368.69 14058655.43 22.15
2004357.18 14058701.66 22.28
2004356.19 14058709.76 22.41
2004363.74 14058720.52 22.44
2004368.53 14058672.88 22.51
2004349.79 14058716.72 22.51
2004352.16 14058701.13 22.51
2004352.22 14058722.13 22.51
2004358.06 14058721.21 22.51
2004362.03 14058726.03 22.54
2004346.91 14058721.90 22.57
2004368.82 14058666.35 22.57
2004348.65 14058710.94 22.74
2004347.89 14058729.25 22.77
2004357.50 14058732.82 22.83
2004356.45 14058760.38 22.90
2004364.20 14058735.58 23.16
2004366.07 14058759.04 23.23
2004349.20 14058734.17 23.39
2004356.75 14058740.47 23.56
2004368.82 14058746.51 23.69
2004351.47 14058740.89 23.69
2004359.80 14058747.16 23.92
2004360.88 14058756.02 23.95
2004348.55 14058754.81 23.98
2004364.66 14058749.49 24.08
2004353.34 14058746.08 24.25
2004347.27 14058747.72 24.44
2004354.85 14058751.03 24.57
2004378.04 14058781.81 14.57
2004371.87 14058786.56 14.63
2004388.41 14058793.42 14.73
2004395.00 14058796.37 14.76
2004384.18 14058789.09 14.83
2004380.21 14058794.67 14.86
2004377.65 14058801.52 14.89
2004386.87 14058780.04 14.96
2004384.08 14058801.56 14.96
2004374.17 14058775.80 15.06
2004379.55 14058776.92 15.06
2004390.71 14058801.23 15.09
2004383.29 14058783.71 15.12
2004393.40 14058776.95 15.78
2004375.94 14058770.95 19.00
2004382.34 14058771.28 19.03
2004388.64 14058770.91 19.46
2004391.00 14058530.04 20.34
2004390.67 14058516.91 20.41
2004389.53 14058524.66 20.80
2004392.68 14058535.91 20.83
2004393.82 14058560.68 20.87
2004371.48 14058639.48 21.19
2004370.60 14058645.03 21.19
2004372.43 14058633.32 21.42
2004391.20 14058765.47 21.42
2004380.54 14058766.45 21.49
2004374.37 14058695.78 21.65
2004379.39 14058633.02 21.75
2004371.45 14058684.63 21.82
2004391.66 14058662.78 21.82
2004391.30 14058656.15 21.85
2004377.35 14058689.19 21.85
2004374.40 14058665.53 21.92
2004377.39 14058660.09 21.95
2004374.11 14058671.67 21.98
2004379.72 14058695.95 21.98
2004378.08 14058645.52 22.01
2004383.39 14058676.95 22.05
2004389.39 14058760.42 22.08
2004385.52 14058691.62 22.08
2004382.47 14058641.26 22.11
2004387.20 14058686.53 22.11
2004379.58 14058671.37 22.11
2004377.81 14058651.03 22.15
2004379.16 14058726.82 22.15
2004380.31 14058684.10 22.15
2004378.34 14058703.17 22.18
2004385.16 14058668.85 22.24
2004384.21 14058720.39 22.24
2004388.48 14058717.70 22.28
2004386.80 14058727.25 22.28
2004393.89 14058679.08 22.31
2004381.68 14058656.74 22.34
2004383.42 14058650.64 22.34
2004386.34 14058645.29 22.38
2004393.36 14058672.16 22.41
2004394.38 14058709.50 22.47
2004370.60 14058734.27 22.51
2004375.75 14058721.41 22.51
2004387.95 14058709.92 22.57
2004392.31 14058645.36 22.64
2004381.95 14058761.79 22.70
2004391.82 14058695.49 22.74
2004393.95 14058722.42 22.77
2004378.14 14058710.55 22.80
2004388.51 14058640.76 22.80
2004391.89 14058745.82 22.80
2004395.33 14058700.21 22.83
2004380.96 14058736.43 22.83
2004394.25 14058629.05 22.83
2004373.78 14058716.22 22.87
2004376.30 14058759.92 22.87
2004372.33 14058742.44 23.00
2004393.30 14058635.58 23.03
2004385.65 14058701.92 23.06
2004381.59 14058741.78 23.13
2004388.84 14058632.96 23.26
2004386.54 14058735.71 23.26
2004395.00 14058752.15 23.36
2004388.21 14058750.80 23.43
2004379.78 14058750.80 23.43
2004390.81 14058756.05 24.18
2004370.66 14058756.64 24.31
2004414.95 14058800.57 13.68
2004416.76 14058794.86 13.68
2004408.95 14058795.62 13.71
2004418.82 14058807.23 13.81
2004414.00 14058790.47 14.44
2004411.38 14058805.13 14.47
2004401.53 14058795.03 14.63
2004407.18 14058789.16 14.89
2004406.49 14058803.59 14.96
2004395.53 14058789.22 15.09
2004396.97 14058804.35 15.16
2004401.30 14058800.31 15.16
2004402.75 14058808.61 15.52
2004402.12 14058786.20 15.58
2004397.14 14058780.40 15.85
2004419.94 14058785.45 16.24
2004411.38 14058785.38 16.50
2004403.96 14058780.20 16.96
2004410.03 14058780.46 17.49
2004417.08 14058531.54 18.47
2004412.10 14058518.22 18.54
2004403.96 14058775.21 18.67
2004406.49 14058517.67 18.70
2004417.28 14058516.35 18.86
2004416.69 14058536.86 19.00
2004415.02 14058522.82 19.03
2004419.51 14058541.58 19.06
2004411.67 14058537.38 19.29
2004406.19 14058536.11 19.46
2004402.65 14058523.21 19.46
2004412.52 14058527.28 19.52
2004406.06 14058541.65 19.59
2004412.75 14058547.69 19.69
2004411.28 14058775.67 19.75
2004417.12 14058773.87 19.78
2004415.58 14058552.18 19.82
2004397.50 14058771.11 19.88
2004401.93 14058533.22 20.05
2004416.76 14058560.28 20.14
2004397.89 14058518.75 20.18
2004405.73 14058552.48 20.18
2004396.42 14058525.61 20.28
2004407.50 14058771.24 20.37
2004399.53 14058554.38 20.70
2004412.23 14058558.05 20.80
2004396.61 14058543.95 20.96
2004406.55 14058561.79 21.00
2004411.44 14058665.27 21.19
2004407.24 14058670.78 21.26
2004403.14 14058567.44 21.26
2004411.74 14058654.81 21.33
2004411.34 14058644.96 21.46
2004406.78 14058659.92 21.46
2004411.28 14058566.39 21.49
2004417.08 14058661.56 21.49
2004416.79 14058594.04 21.49
2004416.89 14058643.39 21.52
2004416.46 14058615.40 21.52
2004414.20 14058600.31 21.52
2004419.28 14058577.84 21.52
2004410.72 14058586.30 21.56
2004411.08 14058571.83 21.56
2004413.54 14058638.57 21.62
2004403.44 14058576.66 21.65
2004401.80 14058669.57 21.69
2004398.61 14058559.20 21.75
2004411.74 14058605.89 21.78
2004416.56 14058682.53 21.78
2004419.12 14058737.29 21.78
2004400.09 14058582.86 21.78
2004414.20 14058692.17 21.82
2004396.19 14058766.29 21.82
2004419.38 14058610.06 21.85
2004406.39 14058652.15 21.88
2004397.53 14058650.67 21.92
2004411.01 14058631.91 21.92
2004416.20 14058621.14 21.92
2004409.47 14058592.93 21.95
2004400.12 14058679.41 21.95
2004397.50 14058591.95 21.95
2004395.92 14058659.53 21.95
2004416.43 14058632.99 21.98
2004408.32 14058677.71 21.98
2004407.21 14058609.17 22.01
2004401.93 14058664.58 22.05
2004406.65 14058616.19 22.08
2004398.12 14058566.49 22.11
2004420.14 14058648.51 22.11
2004397.01 14058665.90 22.11
2004396.32 14058576.03 22.15
2004414.23 14058743.29 22.15
2004408.92 14058624.65 22.21
2004395.53 14058715.99 22.24
2004404.78 14058681.68 22.24
2004417.54 14058671.08 22.28
2004396.45 14058683.68 22.28
2004402.62 14058688.60 22.28
2004406.75 14058639.58 22.34
2004417.41 14058676.23 22.34
2004397.69 14058598.80 22.38
2004411.51 14058684.86 22.38
2004410.65 14058696.51 22.41
2004397.69 14058644.24 22.44
2004405.37 14058711.50 22.47
2004415.94 14058733.12 22.47
2004401.50 14058656.58 22.51
2004405.50 14058739.45 22.54
2004399.27 14058638.47 22.57
2004406.65 14058765.40 22.57
2004401.70 14058611.73 22.60
2004404.42 14058693.26 22.60
2004401.73 14058716.91 22.64
2004411.61 14058738.83 22.67
2004402.88 14058606.12 22.70
2004399.76 14058617.31 22.74
2004398.32 14058695.59 22.74
2004397.14 14058623.93 22.74
2004418.59 14058751.69 22.74
2004420.30 14058627.71 22.77
2004396.02 14058741.68 22.77
2004410.62 14058746.90 22.77
2004419.15 14058696.73 22.80
2004406.59 14058729.61 22.80
2004397.33 14058760.94 22.83
2004401.24 14058746.01 22.87
2004405.73 14058749.00 22.90
2004407.14 14058700.41 22.90
2004398.88 14058736.66 23.00
2004416.92 14058722.52 23.10
2004410.16 14058707.82 23.10
2004418.36 14058758.02 23.13
2004402.35 14058627.54 23.16
2004411.61 14058757.10 23.16
2004416.53 14058716.12 23.20
2004407.47 14058724.69 23.20
2004401.34 14058707.56 23.23
2004397.10 14058729.18 23.26
2004415.58 14058766.35 23.29
2004410.42 14058718.13 23.33
2004403.53 14058761.40 23.36
2004419.61 14058703.59 23.52
2004399.86 14058754.51 23.59
2004433.75 14058800.51 13.45
2004440.61 14058795.52 13.62
2004434.34 14058812.38 13.65
2004426.01 14058799.59 13.68
2004426.17 14058794.08 13.75
2004441.72 14058814.48 13.78
2004440.54 14058809.60 13.85
2004428.83 14058812.84 13.91
2004423.74 14058814.22 13.94
2004428.44 14058805.82 14.04
2004440.44 14058804.35 14.11
2004422.04 14058790.47 14.67
2004433.13 14058790.99 14.73
2004442.84 14058790.96 15.39
2004440.80 14058416.78 15.88
2004421.19 14058397.36 15.94
2004435.75 14058415.63 15.98
2004429.03 14058396.57 16.21
2004436.80 14058410.19 16.24
2004439.39 14058404.31 16.24
2004440.87 14058431.38 16.24
2004435.56 14058429.25 16.37
2004429.65 14058419.11 16.37
2004428.04 14058785.94 16.37
2004444.77 14058436.63 16.44
2004425.91 14058415.04 16.44
2004438.18 14058438.24 16.44
2004436.61 14058423.51 16.44
2004430.63 14058412.68 16.50
2004437.03 14058443.16 16.54
2004423.09 14058419.47 16.63
2004445.20 14058397.49 16.70
2004422.07 14058407.37 16.73
2004435.49 14058397.95 16.73
2004435.88 14058485.97 16.77
2004429.62 14058476.26 16.77
2004443.27 14058423.31 16.90
2004431.55 14058438.60 16.93
2004432.11 14058444.34 16.93
2004435.19 14058785.55 16.99
2004436.61 14058492.80 17.03
2004430.96 14058432.56 17.16
2004434.64 14058474.03 17.16
2004442.28 14058481.09 17.26
