X Y Z
2121416.56 14060082.33 11.25
2121405.40 14060086.36 11.45
2121410.16 14060082.43 11.45
2121413.54 14060093.29 11.68
2121408.36 14060091.68 11.81
2121398.74 14060090.70 12.04
2121402.85 14060094.44 12.14
2121410.06 14060104.15 12.30
2121414.75 14060098.96 12.30
2121416.59 14060106.74 12.37
2121433.72 14060080.46 11.09
2121423.19 14060077.97 11.25
2121421.28 14060084.17 11.35
2121437.03 14060123.08 11.38
2121432.96 14060117.60 11.42
2121438.28 14060087.25 11.42
2121430.31 14060123.21 11.45
2121428.27 14060076.06 11.48
2121426.30 14060087.61 11.55
2121442.18 14060124.16 11.58
2121433.52 14060068.32 11.61
2121436.18 14060130.16 11.68
2121422.30 14060091.75 11.68
2121442.28 14060094.01 11.68
2121437.59 14060101.59 11.71
2121429.35 14060093.91 11.75
2121437.82 14060073.83 11.75
2121427.78 14060069.93 11.91
2121438.25 14060065.37 11.91
2121426.04 14060113.46 11.91
2121440.34 14060059.66 11.98
2121441.69 14060077.01 12.01
2121422.14 14060097.03 12.04
2121429.22 14060099.36 12.04
2121440.64 14060134.46 12.07
2121439.95 14060117.76 12.11
2121427.16 14060108.25 12.17
2121438.25 14060107.72 12.53
2121434.11 14060111.53 12.60
2121462.69 14060052.87 11.29
2121449.10 14060127.90 11.35
2121453.21 14060052.77 11.35
2121453.67 14060130.75 11.35
2121457.50 14060056.54 11.45
2121464.49 14060084.86 11.48
2121462.72 14060071.57 11.52
2121449.04 14060056.77 11.58
2121455.17 14060067.63 11.58
2121458.85 14060086.04 11.78
2121467.67 14060068.98 11.78
2121453.93 14060100.77 11.78
2121446.15 14060097.72 11.81
2121448.97 14060104.31 11.81
2121452.25 14060083.35 11.81
2121448.84 14060147.55 11.84
2121454.71 14060094.76 11.84
2121456.36 14060108.90 11.88
2121462.56 14060043.75 11.88
2121456.03 14060145.98 11.91
2121445.59 14060067.04 11.94
2121464.66 14060079.41 11.94
2121444.12 14060144.30 11.94
2121457.18 14060078.82 11.98
2121449.99 14060090.99 12.01
2121454.78 14060151.16 12.01
2121450.29 14060076.78 12.04
2121445.00 14060108.61 12.07
2121463.77 14060062.41 12.07
2121449.17 14060133.71 12.11
2121445.96 14060080.59 12.11
2121448.97 14060119.17 12.11
2121454.88 14060061.56 12.14
2121452.84 14060123.80 12.14
2121456.81 14060048.67 12.17
2121444.81 14060087.45 12.24
2121450.75 14060071.63 12.24
2121460.19 14060116.65 12.37
2121463.08 14060145.42 12.37
2121462.36 14060154.47 12.37
2121454.78 14060136.73 12.53
2121462.36 14060103.29 12.53
2121466.66 14060158.84 12.57
2121466.43 14060123.67 12.63
2121444.61 14060137.87 12.70
2121460.52 14060128.62 12.86
2121447.40 14060152.41 12.89
2121450.32 14060139.68 12.93
2121459.14 14060159.49 12.96
2121451.60 14060162.15 13.02
2121454.49 14060166.81 13.39
2121466.23 14060165.04 13.42
2121465.51 14060140.60 13.65
2121461.24 14060133.90 13.75
2121484.54 14060041.19 10.96
2121474.63 14060038.17 11.02
2121488.15 14060046.93 11.06
2121488.97 14060053.20 11.12
2121474.10 14060043.22 11.32
2121484.24 14060106.71 11.32
2121479.29 14060042.07 11.32
2121487.62 14060075.73 11.35
2121483.06 14060100.83 11.38
2121471.58 14060050.57 11.38
2121474.30 14060089.65 11.45
2121468.89 14060042.73 11.45
2121471.41 14060078.72 11.48
2121479.91 14060048.01 11.52
2121487.20 14060059.95 11.55
2121469.31 14060098.80 11.58
2121468.79 14060058.74 11.61
2121480.11 14060096.67 11.61
2121469.09 14060093.71 11.65
2121493.04 14060105.39 11.65
2121479.29 14060071.01 11.65
2121491.26 14060028.56 11.68
2121488.41 14060081.41 11.71
2121486.77 14060031.71 11.75
2121476.60 14060105.49 11.78
2121478.80 14060055.82 11.81
2121487.03 14060088.01 11.84
2121489.03 14060037.45 12.04
2121487.79 14060111.92 12.04
2121493.07 14060091.78 12.04
2121470.36 14060084.20 12.04
2121475.68 14060061.89 12.07
2121478.07 14060076.95 12.11
2121486.05 14060065.56 12.14
2121482.41 14060111.56 12.27
2121483.32 14060092.57 12.27
2121469.15 14060106.97 12.27
2121481.85 14060030.72 12.30
2121489.52 14060134.63 12.30
2121481.52 14060060.45 12.30
2121485.82 14060127.70 12.37
2121489.98 14060139.84 12.40
2121490.74 14060126.13 12.50
2121477.81 14060085.41 12.57
2121471.78 14060131.12 12.63
2121480.47 14060128.46 12.66
2121488.31 14060119.76 12.70
2121475.35 14060163.40 12.70
2121473.71 14060122.68 12.73
2121471.05 14060115.10 12.73
2121471.91 14060155.00 12.76
2121481.13 14060136.73 12.80
2121480.08 14060120.12 12.96
2121487.10 14060150.96 13.02
2121483.06 14060171.17 13.02
2121471.41 14060136.10 13.06
2121478.37 14060172.91 13.09
2121491.13 14060159.79 13.19
2121483.09 14060183.64 13.29
2121478.44 14060149.95 13.32
2121486.97 14060156.21 13.39
2121489.62 14060180.16 13.45
2121488.74 14060185.18 13.48
2121475.52 14060139.74 13.52
2121489.75 14060167.76 13.62
2121483.03 14060189.25 13.75
2121481.19 14060143.52 13.88
2121470.46 14060149.85 13.91
2121474.33 14060178.33 13.94
2121490.41 14060200.87 13.94
2121481.68 14060157.62 14.07
2121486.28 14060144.83 14.07
2121474.24 14060144.70 14.07
2121486.70 14060193.78 14.14
2121491.46 14060146.04 14.21
2121473.42 14060169.99 14.57
2121514.66 14060023.18 10.83
2121513.61 14060029.61 10.93
2121510.36 14060053.33 11.19
2121514.49 14060060.81 11.29
2121508.00 14060024.52 11.29
2121506.91 14060019.14 11.38
2121505.24 14060054.90 11.38
2121508.19 14060059.46 11.45
2121497.50 14060028.49 11.45
2121514.10 14060038.37 11.48
2121500.97 14060023.31 11.68
2121502.35 14060060.51 11.68
2121499.01 14060034.69 11.71
2121501.76 14060050.96 11.71
2121501.04 14060114.78 11.78
2121499.10 14060092.37 11.78
2121506.72 14060047.78 11.81
2121494.35 14060022.95 11.81
2121493.82 14060086.79 11.84
2121493.95 14060061.66 11.84
2121508.16 14060065.14 11.88
2121500.09 14060083.02 11.91
2121497.33 14060054.80 11.94
2121493.92 14060051.10 11.98
2121514.85 14060072.32 11.98
2121516.46 14060017.01 11.98
2121495.63 14060110.64 11.98
2121500.22 14060066.91 12.04
2121504.49 14060093.09 12.04
2121516.00 14060043.85 12.07
2121514.79 14060009.89 12.07
2121507.83 14060034.23 12.11
2121499.70 14060044.57 12.11
2121509.90 14060081.34 12.14
2121493.79 14060078.13 12.14
2121517.64 14060053.59 12.20
2121502.12 14060073.96 12.24
2121507.80 14060116.42 12.27
2121511.57 14060123.93 12.34
2121511.24 14060099.42 12.34
2121498.94 14060098.60 12.37
2121507.14 14060088.66 12.40
2121505.57 14060077.80 12.43
2121498.81 14060154.38 12.43
2121498.65 14060104.70 12.43
2121517.74 14060064.61 12.47
2121518.04 14060089.81 12.50
2121494.25 14060116.38 12.53
2121498.38 14060161.56 12.53
2121505.57 14060158.84 12.53
2121517.15 14060114.15 12.53
2121496.35 14060073.80 12.63
2121501.60 14060122.75 12.63
2121513.34 14060086.00 12.66
2121507.60 14060071.11 12.70
2121505.24 14060169.67 12.70
2121506.49 14060127.44 12.73
2121499.70 14060142.89 12.73
2121505.21 14060042.57 12.73
2121503.63 14060101.23 12.76
2121504.94 14060139.88 12.80
2121506.85 14060107.59 12.80
2121512.69 14060170.65 12.86
2121516.99 14060138.43 12.89
2121499.17 14060148.80 13.16
2121498.71 14060168.71 13.16
2121495.40 14060182.20 13.22
2121511.54 14060140.60 13.25
2121497.92 14060135.28 13.29
2121513.08 14060094.86 13.32
2121499.73 14060129.05 13.35
2121517.87 14060173.21 13.39
2121507.34 14060146.40 13.42
2121516.00 14060217.96 13.42
2121511.80 14060134.86 13.48
2121504.55 14060132.03 13.52
2121496.48 14060191.94 13.58
2121512.92 14060149.00 13.62
2121511.70 14060194.53 13.62
2121505.31 14060174.95 13.65
2121509.14 14060202.77 13.65
2121500.45 14060178.95 13.65
2121495.76 14060176.33 13.68
2121499.92 14060195.75 13.68
2121516.16 14060212.41 13.71
2121515.08 14060179.21 13.75
2121504.58 14060153.92 13.75
2121498.45 14060186.13 13.78
2121515.74 14060198.70 13.78
2121508.52 14060185.68 13.78
2121510.95 14060212.71 13.85
2121494.91 14060204.64 13.85
2121511.97 14060162.41 13.88
2121516.76 14060164.51 13.91
2121504.71 14060190.70 13.94
2121502.19 14060202.37 13.94
2121517.90 14060249.78 13.98
2121513.25 14060244.93 14.01
2121512.10 14060154.61 14.17
2121513.84 14060185.31 14.21
2121511.11 14060225.54 14.53
2121499.56 14060210.05 14.53
2121510.19 14060266.32 14.60
2121505.24 14060217.96 14.60
2121518.66 14060270.65 14.67
2121518.63 14060190.14 14.67
2121505.90 14060212.97 14.73
2121510.65 14060235.25 15.06
2121515.54 14060227.97 15.35
2121517.28 14060238.56 15.62
2121514.00 14060259.17 16.04
2121519.25 14060034.69 11.32
2121541.13 14060065.37 11.45
2121534.96 14060061.23 11.52
2121519.31 14060059.10 11.52
2121538.18 14060041.91 11.55
2121528.21 14060021.54 11.55
2121529.81 14060029.11 11.55
2121525.65 14060034.23 11.65
2121522.00 14060029.54 11.75
2121542.71 14060011.46 11.75
2121520.36 14060021.24 11.78
2121543.59 14060070.65 11.78
2121536.83 14060034.07 11.78
2121527.25 14060039.81 11.88
2121539.23 14060006.80 11.91
2121541.07 14060027.57 11.91
2121541.85 14060046.08 11.91
2121519.12 14060069.63 11.91
2121539.10 14060019.80 11.91
2121529.98 14060067.53 11.94
2121522.69 14060075.64 11.98
2121543.17 14060077.34 12.01
2121518.86 14060082.39 12.01
2121525.02 14060085.51 12.01
2121524.92 14060044.34 12.01
2121526.43 14060090.89 12.01
2121519.64 14060007.17 12.07
2121541.30 14060001.13 12.07
2121530.70 14060078.69 12.11
2121533.75 14060047.65 12.14
2121541.92 14059995.68 12.20
2121524.89 14060055.20 12.20
2121540.90 14060097.06 12.27
2121537.03 14060073.31 12.27
2121530.14 14060011.79 12.30
2121531.65 14060089.15 12.30
2121532.67 14060083.44 12.30
2121535.26 14059998.31 12.34
2121524.10 14060011.82 12.37
2121521.51 14060107.33 12.37
2121535.19 14060099.68 12.40
2121534.01 14060053.23 12.40
2121530.63 14060003.98 12.43
2121529.71 14060107.53 12.63
2121539.39 14060055.07 12.63
2121538.93 14060104.51 12.63
2121524.53 14060061.50 12.70
2121538.74 14060110.61 12.70
2121543.49 14060089.51 12.73
2121533.72 14060111.40 12.76
2121525.48 14060001.85 12.76
2121539.49 14060083.02 12.76
2121541.82 14060125.64 12.80
2121521.35 14060140.96 12.89
2121525.81 14060097.45 12.93
2121528.34 14060138.63 12.96
2121529.12 14060155.13 12.96
2121533.62 14060141.06 12.99
2121525.06 14060117.20 13.02
2121539.92 14060166.02 13.06
