X Y Z
2022822.86 14056699.46 10.60
2022815.41 14056705.30 10.70
2022819.74 14056688.90 11.02
2022814.42 14056711.86 11.09
2022820.66 14056709.47 11.12
2022825.09 14056690.01 11.45
2022813.50 14056687.19 11.55
2022816.56 14056697.39 11.58
2022824.99 14056705.99 11.58
2022820.30 14056680.33 11.81
2022820.92 14056674.59 11.88
2022828.86 14056695.72 11.94
2022815.15 14056678.50 12.01
2022827.32 14056675.31 12.04
2022826.27 14056668.03 12.17
2022827.88 14056660.29 12.27
2022830.53 14056671.44 12.27
2022830.43 14056708.68 12.30
2022833.22 14056683.55 12.30
2022819.41 14056666.69 12.34
2022825.28 14056652.91 12.40
2022819.48 14056657.76 12.47
2022832.11 14056677.91 12.50
2022813.60 14056672.92 12.60
2022824.76 14056647.53 12.70
2022829.58 14056627.58 12.73
2022820.03 14056651.14 12.89
2022825.32 14056642.21 12.93
2022830.11 14056634.01 13.06
2022831.16 14056620.07 13.29
2022813.70 14056657.30 13.39
2022819.12 14056637.95 13.48
2022825.45 14056615.47 13.62
2022823.81 14056632.17 13.68
2022833.26 14056650.87 13.68
2022816.95 14056647.00 13.75
2022823.87 14056622.99 13.78
2022813.83 14056632.73 13.98
2022821.35 14056611.60 14.07
2022828.60 14056605.07 14.21
2022832.21 14056609.14 14.27
2022819.25 14056620.10 14.27
2022830.11 14056639.98 14.34
2022814.42 14056623.41 14.40
2022821.41 14056603.69 14.60
2022814.46 14056618.10 14.70
2022817.25 14056608.65 14.89
2022814.55 14056601.46 14.99
2022849.27 14056674.59 11.25
2022846.58 14056680.73 11.29
2022834.27 14056695.82 11.55
2022848.18 14056686.90 11.58
2022853.47 14056669.54 11.61
2022846.58 14056668.16 11.61
2022856.84 14056705.76 11.65
2022845.53 14056692.83 11.84
2022849.79 14056660.03 11.88
2022842.87 14056673.64 11.91
2022840.70 14056688.31 11.94
2022845.03 14056658.02 11.98
2022857.99 14056695.26 11.98
2022838.57 14056706.88 12.01
2022841.20 14056701.86 12.04
2022856.22 14056657.76 12.07
2022843.95 14056706.52 12.11
2022851.96 14056641.19 12.11
2022839.13 14056681.81 12.14
2022851.40 14056648.25 12.17
2022840.70 14056663.90 12.24
2022854.52 14056676.46 12.24
2022847.17 14056652.87 12.24
2022841.23 14056653.69 12.24
2022855.76 14056645.03 12.34
2022853.83 14056699.99 12.34
2022857.40 14056650.54 12.43
2022845.03 14056643.46 12.50
2022846.64 14056636.44 12.60
2022836.47 14056669.15 12.76
2022850.22 14056705.20 12.76
2022855.83 14056637.95 12.80
2022852.22 14056694.97 12.83
2022851.50 14056630.20 12.89
2022853.92 14056682.60 12.96
2022839.13 14056647.07 13.02
2022846.15 14056629.19 13.12
2022834.31 14056657.14 13.32
2022849.43 14056622.33 13.45
2022853.20 14056615.21 13.62
2022856.55 14056620.10 13.65
2022840.21 14056638.83 13.75
2022856.48 14056627.41 13.81
2022848.84 14056612.06 13.88
2022852.12 14056606.65 13.94
2022858.12 14056632.66 14.01
2022857.80 14056609.83 14.01
2022856.71 14056602.15 14.04
2022842.87 14056619.93 14.07
2022839.13 14056625.94 14.07
2022843.46 14056613.57 14.34
2022846.71 14056604.32 14.40
2022840.24 14056604.61 15.29
2022834.31 14056597.66 15.58
2022865.05 14056699.46 11.29
2022867.25 14056691.23 11.68
2022860.32 14056710.52 11.81
2022865.83 14056685.88 11.91
2022866.29 14056710.09 11.91
2022875.18 14056686.24 12.04
