X Y Z
1503725.03 14269637.69 12.40
1503723.61 14269584.34 12.53
1503719.91 14269638.61 12.73
1503720.99 14269590.84 12.76
1503725.22 14269628.18 12.80
1503719.32 14269618.86 12.83
1503723.22 14269642.87 12.89
1503726.37 14269592.81 13.02
1503722.73 14269598.68 13.06
1503718.56 14269608.52 13.16
1503722.40 14269603.83 13.16
1503724.01 14269569.52 13.19
1503716.95 14269602.78 13.22
1503717.25 14269585.49 13.29
1503717.58 14269597.30 13.35
1503723.25 14269610.76 13.39
1503719.74 14269576.63 13.45
1503722.96 14269563.05 13.48
1503715.87 14269627.32 13.55
1503722.14 14269652.85 13.62
1503722.66 14269633.26 13.62
1503717.64 14269645.76 13.65
1503710.75 14269607.54 13.88
1503715.31 14269641.23 13.98
1503712.59 14269652.19 13.98
1503711.21 14269587.30 13.98
1503720.63 14269662.89 14.01
1503707.44 14269626.08 14.04
1503713.77 14269622.24 14.11
1503719.15 14269657.02 14.24
1503709.21 14269635.10 14.24
1503708.85 14269642.48 14.24
1503707.90 14269614.89 14.24
1503718.37 14269668.43 14.34
1503725.09 14269688.97 14.40
1503722.40 14269675.16 14.83
1503724.27 14269683.46 14.86
1503749.40 14269523.88 11.45
1503746.51 14269529.06 11.71
1503738.31 14269569.32 12.04
1503751.40 14269517.65 12.07
1503731.29 14269574.27 12.07
1503727.06 14269578.73 12.11
1503739.40 14269538.71 12.27
1503733.03 14269566.96 12.30
1503732.05 14269631.95 12.37
1503748.52 14269547.73 12.37
1503736.84 14269558.33 12.43
1503751.17 14269563.48 12.47
1503732.60 14269581.88 12.50
1503745.01 14269534.41 12.50
1503745.07 14269576.14 12.57
1503747.70 14269640.15 12.60
1503737.72 14269550.91 12.63
1503738.71 14269629.72 12.66
1503746.38 14269645.96 12.73
1503747.14 14269599.17 12.76
1503744.45 14269558.82 12.76
1503750.06 14269611.48 12.80
1503735.79 14269542.71 12.80
1503737.36 14269575.13 12.80
1503743.59 14269655.34 12.83
1503737.16 14269624.37 12.83
1503729.88 14269589.07 12.83
1503749.24 14269582.05 12.86
1503751.14 14269648.71 12.86
1503737.62 14269583.23 12.86
1503728.14 14269563.25 12.89
1503733.82 14269620.40 12.89
1503738.77 14269662.82 12.89
1503742.97 14269549.73 12.93
1503742.15 14269601.24 12.96
1503735.06 14269606.33 12.96
1503748.09 14269507.64 12.96
1503742.84 14269607.87 12.96
1503747.24 14269627.45 13.09
1503730.73 14269614.56 13.12
1503742.22 14269641.50 13.16
1503737.72 14269651.40 13.16
1503730.87 14269553.14 13.16
1503735.52 14269612.07 13.16
1503732.90 14269660.26 13.19
1503738.35 14269595.76 13.19
1503750.68 14269569.02 13.22
1503742.02 14269634.64 13.25
1503743.14 14269665.77 13.29
1503747.30 14269620.34 13.29
1503749.21 14269667.94 13.42
1503742.51 14269586.15 13.42
1503743.04 14269673.68 13.45
1503740.51 14269616.50 13.48
1503747.56 14269687.36 13.52
1503748.65 14269679.52 13.55
1503728.63 14269620.43 13.62
1503733.72 14269669.32 13.68
1503733.13 14269598.42 13.68
1503751.08 14269658.49 13.75
1503730.93 14269642.71 13.81
1503727.45 14269608.07 13.81
1503730.70 14269653.50 13.94
1503726.99 14269660.79 13.94
1503743.00 14269624.08 14.01
1503731.55 14269678.50 14.07
1503741.20 14269692.94 14.07
1503750.42 14269673.71 14.11
1503728.31 14269693.56 14.30
1503736.11 14269693.69 14.34
1503742.81 14269682.38 14.37
1503735.62 14269674.99 14.47
1503751.44 14269723.16 14.63
1503750.58 14269703.57 14.73
1503726.86 14269671.88 14.73
1503746.38 14269711.18 14.83
1503740.74 14269717.97 14.83
1503741.36 14269703.47 14.83
1503733.92 14269688.68 14.89
1503743.96 14269697.47 15.06
1503746.29 14269727.78 15.26
1503736.34 14269700.03 15.29
1503736.87 14269708.85 15.29
1503744.05 14269722.63 15.32
1503730.01 14269706.23 15.58
1503750.03 14269735.13 15.85
1503775.12 14269521.58 10.83
1503770.89 14269525.49 11.15
1503769.71 14269543.50 11.19
1503770.89 14269518.92 11.22
1503770.60 14269532.05 11.22
1503766.82 14269528.44 11.29
1503773.58 14269536.31 11.48
1503762.20 14269545.86 11.52
1503760.39 14269538.61 11.58
1503765.68 14269567.58 11.71
1503763.21 14269512.95 11.71
1503762.59 14269533.85 11.75
1503755.96 14269535.69 11.78
1503771.25 14269472.60 11.84
1503761.34 14269507.44 11.88
1503767.48 14269508.10 11.88
1503772.27 14269478.73 11.88
1503756.92 14269517.45 11.91
1503757.47 14269511.41 11.94
1503765.51 14269483.00 11.94
1503773.29 14269510.89 11.98
1503756.65 14269571.45 11.98
1503769.42 14269561.38 12.01
1503769.28 14269500.72 12.01
1503756.98 14269543.43 12.04
1503774.04 14269554.65 12.07
1503757.51 14269577.78 12.11
1503775.62 14269459.25 12.11
1503760.26 14269609.57 12.11
1503757.67 14269487.86 12.17
1503771.74 14269549.63 12.17
1503757.08 14269551.96 12.17
1503755.96 14269614.27 12.17
