X Y Z
1913842.13 14004359.08 12.93
1913843.44 14004374.86 13.29
1913827.86 14004396.81 13.35
1913829.04 14004391.92 13.39
1913833.90 14004393.10 13.48
1913839.77 14004368.82 13.52
1913836.09 14004362.79 13.55
1913830.22 14004387.06 13.75
1913838.59 14004373.68 13.78
1913825.50 14004406.52 13.94
1913834.91 14004367.64 14.07
1913831.53 14004402.85 14.11
1913835.08 14004388.25 14.17
1913831.37 14004382.21 14.24
1913832.55 14004377.35 14.24
1913837.41 14004378.53 14.34
1913841.11 14004384.57 14.63
1913836.39 14004403.99 14.70
1913839.93 14004389.43 14.70
1913829.21 14004412.56 14.86
1913824.32 14004411.38 15.12
1913838.92 14004414.89 15.12
1913840.10 14004410.03 15.65
1913841.28 14004405.18 16.54
1913843.61 14004395.46 16.73
1913867.43 14004339.49 12.43
1913868.15 14004272.79 12.50
1913865.79 14004282.50 12.63
1913849.35 14004350.55 12.63
1913844.46 14004349.37 12.66
1913867.59 14004360.10 12.70
1913846.82 14004339.66 12.73
1913868.77 14004355.24 12.73
1913848.00 14004334.80 12.83
1913863.29 14004271.61 12.86
1913866.28 14004344.35 12.86
1913862.11 14004276.47 12.86
1913851.68 14004340.84 12.89
1913855.22 14004326.24 12.93
1913866.41 14004364.98 13.02
1913863.75 14004333.46 13.06
1913846.99 14004360.26 13.09
1913852.86 14004335.98 13.09
1913845.81 14004365.12 13.12
1913862.74 14004358.95 13.12
1913849.48 14004371.15 13.12
1913864.47 14004266.76 13.16
1913863.92 14004354.06 13.16
1913866.80 14004257.05 13.22
1913856.40 14004321.38 13.25
1913859.91 14004306.82 13.29
1913865.10 14004349.20 13.35
1913864.77 14004308.00 13.35
1913867.13 14004298.25 13.39
1913853.88 14004310.49 13.42
1913858.57 14004291.07 13.42
1913864.61 14004287.36 13.45
1913852.70 14004315.35 13.45
1913850.66 14004366.30 13.48
1913861.09 14004301.96 13.52
1913854.37 14004372.33 13.52
1913861.55 14004363.80 13.52
1913849.02 14004309.31 13.55
1913867.75 14004380.73 13.55
1913866.57 14004385.59 13.55
1913850.20 14004304.45 13.62
1913867.30 14004318.89 13.65
1913869.17 14004247.30 13.68
1913851.84 14004361.44 13.68
1913863.59 14004312.85 13.71
1913861.42 14004343.17 13.71
1913868.31 14004293.40 13.75
1913859.06 14004352.91 13.78
1913853.19 14004377.19 13.81
1913860.08 14004327.42 13.81
1913865.26 14004369.84 13.81
1913860.37 14004368.66 13.81
1913847.15 14004380.90 13.85
1913857.88 14004357.77 13.88
1913860.54 14004389.26 13.88
1913857.72 14004337.13 13.91
1913859.75 14004286.18 13.91
1913846.66 14004319.05 13.94
1913864.08 14004374.70 14.11
1913856.24 14004300.78 14.11
1913853.02 14004356.59 14.14
1913867.92 14004401.34 14.14
1913864.24 14004395.30 14.17
1913864.93 14004328.60 14.17
1913860.24 14004348.02 14.17
1913865.56 14004411.05 14.17
1913859.36 14004394.12 14.24
1913855.68 14004388.08 14.24
1913863.06 14004400.16 14.24
1913851.38 14004299.60 14.44
1913869.10 14004396.48 14.44
1913859.52 14004414.76 14.44
1913863.19 14004420.79 14.44
1913866.11 14004323.74 14.47
1913845.97 14004385.75 14.50
1913868.08 14004421.94 14.53
1913858.04 14004378.37 14.57
1913856.86 14004383.23 14.63
1913862.44 14004317.71 14.67
1913854.50 14004392.94 14.67
1913855.85 14004408.72 14.67
1913857.03 14004403.86 14.73
1913856.53 14004342.02 14.76
1913861.26 14004322.56 14.99
1913852.01 14004382.05 14.99
1913857.19 14004424.47 15.06
1913850.83 14004386.93 15.09
1913853.48 14004418.43 15.12
1913849.81 14004412.39 15.26
1913853.32 14004397.83 15.26
1913849.64 14004391.79 15.39
1913846.13 14004406.36 15.98
1913844.79 14004390.61 16.11
1913848.46 14004396.64 16.17
1913852.30 14004423.29 17.59
1913884.91 14004245.99 12.07
1913893.31 14004232.57 12.07
1913873.00 14004273.97 12.20
1913871.82 14004278.83 12.24
1913894.17 14004186.47 12.34
1913878.88 14004249.66 12.40
1913880.68 14004327.26 12.40
1913877.86 14004275.16 12.40
1913886.09 14004241.13 12.43
1913873.46 14004335.82 12.43
1913871.13 14004345.53 12.43
1913874.19 14004269.12 12.47
1913882.58 14004255.70 12.53
1913893.61 14004273.81 12.53
1913877.70 14004254.52 12.57
1913892.13 14004237.43 12.57
1913890.79 14004221.68 12.57
1913874.64 14004330.96 12.57
1913891.80 14004196.22 12.60
1913892.98 14004191.36 12.60
1913878.02 14004295.76 12.63
1913878.35 14004337.00 12.63
1913881.40 14004260.56 12.66
1913875.37 14004264.23 12.70
1913879.20 14004290.90 12.76
1913872.15 14004320.07 12.80
1913893.15 14004211.97 12.80
1913892.46 14004278.67 12.83
1913873.33 14004315.18 12.86
1913881.24 14004239.95 12.86
1913889.77 14004247.17 12.89
1913888.46 14004231.39 12.89
1913889.93 14004267.77 12.89
1913876.68 14004280.01 12.89
1913888.29 14004210.79 12.89
1913875.20 14004243.63 12.89
1913893.48 14004253.21 12.89
1913874.81 14004351.57 12.93
1913873.17 14004294.58 12.96
1913875.99 14004346.71 12.96
1913884.39 14004333.29 12.96
1913889.47 14004205.93 13.02
1913887.57 14004277.49 13.02
1913884.75 14004225.35 13.02
1913881.08 14004219.35 13.02
1913891.44 14004304.16 13.06
1913882.26 14004214.46 13.06
1913872.84 14004253.34 13.06
1913881.57 14004281.19 13.09
1913891.57 14004324.76 13.12
1913892.59 14004299.27 13.16
1913878.71 14004229.06 13.16
1913870.51 14004263.08 13.16
1913888.75 14004272.63 13.19
1913876.38 14004238.77 13.22
1913870.97 14004324.93 13.22
1913871.30 14004366.13 13.25
1913875.66 14004305.47 13.25
1913872.61 14004381.91 13.29
1913873.79 14004377.03 13.29
1913890.95 14004242.31 13.32
1913873.63 14004356.42 13.32
1913891.11 14004262.92 13.32
1913885.08 14004266.59 13.32
1913891.28 14004283.52 13.35
1913874.35 14004289.72 13.39
1913871.99 14004299.43 13.39
1913890.39 14004329.62 13.39
1913871.43 14004386.77 13.45
1913881.86 14004322.40 13.48
1913870.64 14004283.69 13.48
1913890.26 14004309.01 13.52
1913892.75 14004319.91 13.55
1913892.30 14004258.06 13.55
1913879.37 14004311.51 13.58
1913886.42 14004282.34 13.58
1913889.08 14004313.87 13.62
1913887.74 14004298.12 13.65
1913870.12 14004371.02 13.68
1913876.29 14004387.95 13.71
1913888.92 14004293.23 13.71
1913883.21 14004338.15 13.81
1913886.55 14004302.98 13.85
1913870.28 14004391.63 13.91
1913891.74 14004345.37 13.94
1913886.26 14004261.74 13.94
1913878.19 14004316.36 13.98
1913892.92 14004340.51 13.98
1913887.90 14004318.73 13.98
1913880.16 14004414.59 14.01
1913894.10 14004335.65 14.04
1913887.44 14004256.88 14.04
1913884.06 14004292.08 14.04
1913878.65 14004378.21 14.07
1913882.88 14004296.94 14.17
1913887.05 14004364.82 14.17
1913880.52 14004306.65 14.21
1913878.98 14004419.45 14.21
1913894.26 14004356.26 14.24
1913877.63 14004403.70 14.24
1913888.06 14004339.33 14.27
1913875.14 14004392.81 14.27
1913872.94 14004423.12 14.27
1913881.17 14004389.10 14.30
1913890.56 14004350.22 14.30
1913882.65 14004425.48 14.30
1913876.61 14004429.16 14.30
1913893.94 14004315.05 14.34
1913871.59 14004407.37 14.34
1913878.81 14004398.84 14.37
1913882.49 14004404.88 14.37
1913885.41 14004307.83 14.40
1913875.27 14004413.41 14.40
1913869.49 14004288.54 14.44
1913890.72 14004370.86 14.50
1913879.83 14004373.35 14.60
1913887.51 14004426.66 14.60
1913881.70 14004301.80 14.60
1913885.24 14004287.23 14.60
1913883.67 14004399.99 14.63
1913882.32 14004384.24 14.67
1913893.54 14004422.99 14.67
1913891.05 14004412.06 14.67
1913881.47 14004430.34 14.67
1913886.88 14004344.18 14.70
1913885.01 14004415.77 14.70
1913882.19 14004363.64 14.76
1913889.87 14004416.95 14.76
1913892.07 14004386.61 14.80
1913876.15 14004367.31 14.89
1913888.23 14004359.97 14.93
1913889.70 14004396.32 15.03
1913885.87 14004369.68 15.03
1913887.21 14004385.42 15.16
1913891.18 14004432.70 15.16
1913881.01 14004368.50 15.19
1913882.03 14004343.04 15.22
1913893.38 14004402.35 15.29
1913878.48 14004357.60 15.39
1913886.03 14004390.28 15.42
1913885.70 14004349.07 15.45
1913883.34 14004358.78 15.68
1913880.85 14004347.89 15.75
1913884.52 14004353.93 16.21
1913909.06 14004231.26 11.58
1913900.20 14004182.80 11.61
1913900.66 14004244.64 11.68
1913904.20 14004230.08 11.75
1913905.39 14004225.22 11.81
1913899.02 14004187.66 11.81
1913900.53 14004224.04 11.84
1913896.99 14004238.61 11.88
1913898.17 14004233.75 12.01
1913905.55 14004245.82 12.04
1913894.49 14004227.71 12.07
1913904.37 14004250.68 12.07
1913907.72 14004215.48 12.07
1913905.68 14004266.43 12.11
1913918.48 14004192.38 12.17
1913902.01 14004260.39 12.20
1913916.28 14004222.70 12.20
1913911.42 14004221.51 12.20
1913901.71 14004219.18 12.24
1913894.62 14004248.32 12.24
1913902.73 14004193.69 12.24
1913917.30 14004197.24 12.24
1913898.50 14004274.99 12.30
1913904.53 14004271.32 12.30
1913914.77 14004186.34 12.34
1913910.54 14004267.61 12.34
1913898.33 14004254.36 12.34
1913897.84 14004192.51 12.34
1913908.90 14004210.62 12.43
1913900.99 14004285.88 12.43
1913908.04 14004256.72 12.47
1913896.69 14004197.40 12.47
1913894.79 14004268.95 12.47
1913909.68 14004313.71 12.50
1913910.87 14004308.85 12.50
1913918.77 14004233.59 12.53
1913897.32 14004279.85 12.53
1913911.72 14004262.75 12.57
1913919.26 14004295.43 12.57
1913895.51 14004202.26 12.60
1913906.57 14004220.37 12.63
1913902.86 14004214.33 12.66
1913914.93 14004206.95 12.66
1913912.05 14004303.99 12.66
1913911.26 14004200.91 12.70
1913918.38 14004341.53 12.70
1913901.55 14004198.55 12.73
1913897.15 14004259.24 12.73
1913918.08 14004300.29 12.76
1913909.91 14004185.16 12.80
1913912.44 14004196.05 12.80
1913911.59 14004242.15 12.80
1913903.65 14004317.38 12.80
1913902.47 14004322.24 12.83
1913917.92 14004279.68 12.86
1913910.41 14004247.01 12.89
1913917.46 14004217.84 12.89
1913899.81 14004290.74 12.89
1913903.88 14004188.84 12.93
1913906.01 14004307.67 12.93
1913915.56 14004289.39 12.96
1913904.04 14004209.44 12.96
1913896.82 14004218.00 12.99
1913894.95 14004289.56 13.06
1913905.22 14004204.58 13.09
1913917.62 14004238.44 13.09
1913914.70 14004335.49 13.12
1913913.75 14004211.80 13.22
1913907.19 14004302.81 13.22
1913916.57 14004263.94 13.22
1913915.72 14004310.03 13.25
1913901.32 14004327.12 13.25
1913914.24 14004273.65 13.29
1913898.63 14004295.60 13.29
1913908.77 14004190.02 13.29
1913895.28 14004330.80 13.32
1913908.21 14004277.32 13.35
1913904.99 14004333.16 13.45
1913896.59 14004346.55 13.45
1913909.52 14004293.10 13.48
1913906.40 14004199.73 13.52
1913915.88 14004330.63 13.52
1913912.90 14004257.90 13.52
1913903.81 14004338.02 13.52
1913900.30 14004352.58 13.52
1913913.52 14004340.35 13.55
1913908.50 14004318.56 13.58
1913896.43 14004325.94 13.58
1913897.77 14004341.69 13.62
1913895.12 14004310.19 13.62
1913914.08 14004253.04 13.65
1913904.66 14004291.92 13.65
1913911.88 14004283.36 13.71
1913903.98 14004358.62 13.71
1913899.12 14004357.44 13.71
1913905.16 14004353.76 13.75
1913917.07 14004325.78 13.88
1913901.15 14004306.49 13.88
1913896.76 14004367.15 13.88
1913905.85 14004287.07 13.91
1913910.31 14004396.15 13.91
1913898.79 14004316.20 13.94
1913914.54 14004314.89 13.94
1913911.19 14004350.09 13.98
1913902.79 14004363.48 14.01
1913919.03 14004424.01 14.04
1913910.01 14004354.95 14.07
1913909.85 14004334.31 14.11
1913913.00 14004427.68 14.21
1913905.45 14004395.00 14.21
1913905.62 14004415.61 14.21
1913908.67 14004339.20 14.24
