X Y Z
1760415.14 14152017.61 15.72
1760416.51 14152025.72 15.81
1760414.28 14152010.36 15.91
1760410.74 14152033.66 16.01
1760418.45 14152002.00 16.11
1760415.07 14152036.38 16.24
1760409.99 14152039.17 16.31
1760405.52 14152041.73 16.44
1760403.88 14152047.83 17.32
1760408.97 14152045.47 17.45
1760414.05 14152045.34 18.70
1760408.80 14152050.78 19.06
1760416.38 14152082.94 19.72
1760405.16 14152057.77 20.57
1760417.79 14152048.81 20.60
1760399.09 14152065.38 21.69
1760412.35 14152056.13 21.88
1760405.23 14152062.73 21.88
1760398.73 14152026.28 22.90
1760401.10 14152070.24 23.26
1760417.56 14152057.71 23.56
1760410.84 14152062.69 23.62
1760413.30 14152089.37 23.82
1760418.42 14152080.97 24.08
1760405.46 14152025.09 24.28
1760405.03 14152075.13 24.31
1760415.14 14152075.32 24.41
1760410.35 14152082.74 24.48
1760410.22 14152077.19 24.67
1760406.44 14152067.61 24.84
1760410.58 14152070.50 24.87
1760414.55 14152067.02 25.07
1760415.92 14151951.60 25.79
1760410.35 14152023.45 26.21
1760401.06 14152060.23 27.89
1760410.84 14152035.86 29.63
1760418.22 14151950.88 30.41
1760414.38 14152021.85 33.46
1760417.17 14151958.56 34.25
1760404.80 14152023.81 35.73
1760413.07 14152025.85 36.25
1760404.41 14152033.13 36.35
1760407.76 14152017.88 37.99
1760407.92 14152022.63 40.29
1760407.07 14152032.02 40.49
1760411.27 14152021.39 44.62
1760411.23 14152030.31 45.67
1760419.76 14152021.81 15.72
1760419.60 14152012.79 15.85
1760426.36 14152023.29 15.88
1760422.88 14152028.21 15.91
1760425.41 14152014.83 15.91
1760421.73 14152007.67 15.94
1760429.15 14152009.41 16.04
1760431.67 14152020.44 16.08
1760428.03 14152003.60 16.11
1760436.00 14152012.63 16.14
1760419.63 14152032.87 16.17
1760430.88 14152026.14 16.17
1760434.26 14152007.05 16.21
1760441.61 14152013.58 16.21
1760426.98 14151998.39 16.27
1760440.53 14152003.77 16.27
1760434.13 14152000.82 16.27
1760437.81 14152022.24 16.31
1760441.61 14151995.34 16.40
1760436.20 14151995.30 16.40
1760423.73 14151993.17 16.40
1760424.82 14152033.56 16.44
1760431.28 14151993.76 16.44
1760430.20 14152031.62 16.50
1760435.77 14151990.06 16.54
1760429.18 14151988.94 16.60
1760423.67 14151987.10 16.60
1760436.63 14152028.31 16.60
1760441.68 14151980.15 16.63
1760436.89 14151984.67 16.67
1760436.17 14151976.37 16.73
1760431.31 14151981.66 16.77
1760441.58 14152027.49 16.77
1760442.14 14151973.52 16.80
1760440.27 14151967.45 16.83
1760435.15 14151965.19 16.93
1760442.89 14151957.38 16.93
1760440.17 14151945.99 16.96
1760438.96 14151961.02 16.96
1760433.31 14151971.62 16.96
1760427.37 14151977.33 16.99
1760423.27 14151981.95 16.99
1760438.86 14151952.42 16.99
1760435.41 14151956.92 16.99
1760419.27 14152039.23 17.03
1760428.03 14151968.47 17.06
1760433.44 14151949.47 17.06
1760439.71 14151940.06 17.13
1760435.15 14151944.32 17.16
1760421.93 14151968.93 17.22
1760429.57 14151961.32 17.26
1760441.88 14151934.41 17.26
1760426.65 14151948.65 17.32
1760419.11 14151977.56 17.36
1760433.87 14151937.33 17.39
1760436.17 14152034.67 17.39
1760440.43 14151928.18 17.45
1760424.62 14151962.00 17.49
1760440.43 14151923.13 17.49
1760435.12 14151929.88 17.52
1760430.33 14151941.76 17.52
1760423.77 14151952.75 17.59
1760441.22 14152034.25 17.62
1760434.66 14151923.78 17.78
1760437.84 14151917.98 18.18
1760424.95 14152039.86 18.47
1760443.25 14151913.35 18.54
1760431.80 14152039.79 19.26
1760439.58 14151906.82 19.78
1760437.94 14152040.58 20.01
1760418.98 14151950.09 20.87
1760425.01 14152045.34 21.00
1760436.43 14152105.47 21.06
1760440.14 14152100.85 21.13
1760434.46 14152099.24 21.49
1760424.22 14152095.34 21.62
1760429.97 14152103.01 21.78
1760430.88 14152045.93 21.95
1760437.38 14152094.91 21.98
