X Y Z
1925428.66 14009465.07 13.22
1925422.92 14009458.45 14.11
1925413.40 14009453.10 14.70
1925431.45 14009451.23 15.19
1925420.72 14009451.62 15.68
1925425.21 14009449.00 16.24
1925431.64 14009443.49 16.31
1925441.78 14009477.57 12.57
1925438.99 14009472.91 12.60
1925447.92 14009468.42 12.80
1925451.00 14009475.15 12.93
1925447.42 14009462.51 12.96
1925438.50 14009465.63 12.99
1925454.48 14009463.76 12.99
1925455.49 14009456.58 13.16
1925442.60 14009460.18 13.25
1925446.60 14009456.87 13.35
1925434.56 14009462.12 13.52
1925444.57 14009451.75 13.65
1925457.13 14009507.59 13.65
1925452.84 14009450.31 13.71
1925447.75 14009447.78 13.71
1925457.59 14009431.58 13.78
1925452.05 14009444.86 13.91
1925456.58 14009414.97 14.11
1925450.21 14009480.99 14.11
1925452.21 14009504.12 14.24
1925455.95 14009425.67 14.30
1925435.91 14009453.85 14.37
1925450.64 14009436.83 14.37
1925452.15 14009417.67 14.53
1925441.19 14009441.58 14.99
1925437.15 14009445.03 15.06
1925445.00 14009486.73 15.09
1925444.90 14009437.78 15.12
1925444.27 14009431.94 15.16
1925453.82 14009498.73 15.22
1925438.07 14009433.54 15.55
1925457.59 14009494.86 15.58
1925443.52 14009500.05 15.58
1925441.49 14009491.06 15.68
1925449.92 14009422.68 15.85
1925458.15 14009480.76 16.04
1925448.57 14009495.98 16.11
1925452.12 14009491.58 16.37
1925443.72 14009426.20 16.60
1925457.13 14009488.30 16.73
1925470.42 14009516.22 12.89
1925474.79 14009519.27 12.89
1925480.86 14009513.01 13.02
1925475.93 14009514.02 13.06
1925480.63 14009521.80 13.16
1925467.21 14009466.62 13.16
1925462.58 14009464.35 13.19
1925463.66 14009509.46 13.25
1925472.46 14009509.40 13.25
1925459.56 14009469.76 13.29
1925481.02 14009506.08 13.32
1925475.87 14009461.96 13.48
1925480.04 14009528.29 13.52
1925460.61 14009440.40 13.55
1925464.55 14009447.75 13.58
1925466.52 14009438.47 13.65
1925480.66 14009463.40 13.65
1925481.41 14009499.19 13.65
1925468.16 14009460.61 13.71
1925459.79 14009419.27 13.78
1925466.22 14009473.50 13.81
1925465.93 14009431.87 13.85
1925464.39 14009413.79 13.85
1925461.30 14009427.80 13.85
1925466.98 14009418.72 13.85
1925477.71 14009467.96 13.91
1925469.27 14009503.07 13.98
1925459.01 14009445.85 13.98
1925476.33 14009456.74 14.01
1925461.30 14009456.87 14.04
1925469.63 14009444.76 14.04
1925476.03 14009498.14 14.07
1925470.49 14009413.14 14.11
1925463.40 14009502.34 14.17
1925481.91 14009535.51 14.21
1925470.46 14009453.72 14.37
1925474.26 14009493.26 14.50
1925474.79 14009405.39 14.53
1925481.12 14009453.23 14.70
