X Y Z
2049027.20 14048819.79 8.99
2049032.15 14048814.70 9.12
2049017.29 14048824.94 9.19
2049022.74 14048854.86 9.22
2049012.21 14048820.02 9.28
2049022.38 14048829.86 9.32
2049022.15 14048814.86 9.35
2049027.43 14048834.78 9.51
2049027.99 14048869.79 9.55
2049022.51 14048839.86 9.58
2049017.75 14048854.92 9.58
2049012.44 14048835.01 9.71
2049022.90 14048864.86 9.71
2049027.76 14048854.79 9.74
2049017.46 14048834.94 9.78
2049027.59 14048844.79 9.84
2049028.12 14048879.79 9.84
2049017.59 14048844.92 9.88
2049017.82 14048859.94 9.97
2049042.13 14048814.57 8.76
2049032.35 14048829.69 8.86
2049037.44 14048834.62 8.92
2049037.50 14048839.63 9.09
2049037.31 14048824.64 9.09
2049032.22 14048819.72 9.09
2049042.59 14048844.56 9.22
2049042.23 14048819.56 9.25
2049042.36 14048829.56 9.45
2049032.58 14048844.72 9.45
2049047.61 14048844.49 9.48
2049056.99 14048804.33 9.55
2049032.81 14048859.71 9.61
2049037.67 14048849.64 9.65
2049057.12 14048814.34 9.68
2049052.07 14048809.42 9.71
2049037.90 14048864.63 9.71
2049047.51 14048839.47 9.71
2049047.74 14048854.46 9.74
2049042.29 14048824.54 9.78
2049052.43 14048834.42 9.81
2049052.76 14048854.40 9.84
2049047.15 14048814.47 9.88
2049052.36 14048829.40 9.88
2049047.80 14048859.48 9.91
2049052.59 14048844.39 10.04
2049033.14 14048879.69 10.04
2049052.89 14048864.41 10.10
2049037.73 14048854.63 10.17
2049033.20 14048884.71 10.17
2049032.97 14048869.69 10.17
2049052.20 14048819.39 10.20
2049047.44 14048834.48 10.20
2049042.98 14048869.56 10.20
2049048.36 14048894.46 10.24
2049043.21 14048884.55 10.24
2049053.05 14048874.41 10.24
2049038.06 14048874.64 10.27
2049043.34 14048894.56 10.43
2049042.88 14048864.54 10.50
2049048.43 14048899.48 10.53
2049053.12 14048879.40 10.56
2049048.26 14048889.47 10.56
2049038.29 14048889.63 10.60
2049048.03 14048874.48 10.63
2049038.19 14048884.62 10.63
2049053.51 14048904.40 10.86
2049048.20 14048884.48 10.93
2049048.59 14048909.48 10.96
2049038.35 14048894.62 10.99
2049053.64 14048914.41 11.12
2049053.28 14048889.41 11.15
2049053.81 14048924.38 11.55
2049081.89 14048798.95 9.32
2049067.00 14048804.17 9.38
2049072.05 14048809.09 9.38
2049072.21 14048819.10 9.45
2049077.30 14048824.02 9.51
2049072.28 14048824.12 9.51
2049062.50 14048839.24 9.55
2049077.43 14048834.02 9.68
2049077.13 14048814.01 9.68
2049067.13 14048814.18 9.68
2049062.67 14048849.25 9.68
2049062.08 14048809.25 9.71
2049057.58 14048844.33 9.71
2049057.45 14048834.32 9.74
2049062.21 14048819.26 9.78
2049067.52 14048839.18 9.81
2049067.29 14048824.18 9.88
2049062.37 14048829.27 9.91
2049076.90 14048799.02 9.97
2049057.29 14048824.31 10.01
2049072.67 14048849.08 10.01
2049076.97 14048804.04 10.07
2049072.74 14048854.10 10.14
2049067.65 14048849.18 10.17
2049057.81 14048859.32 10.17
2049072.51 14048839.11 10.20
2049057.97 14048869.33 10.24
2049082.12 14048813.95 10.30
2049077.82 14048859.02 10.30
2049077.66 14048849.02 10.33
2049062.83 14048859.25 10.37
2049068.28 14048889.18 10.43
2049072.97 14048869.10 10.47
2049063.26 14048889.24 10.47
2049068.21 14048884.16 10.53
2049062.96 14048869.26 10.56
2049063.35 14048894.26 10.60
2049067.88 14048864.18 10.63
2049072.80 14048859.09 10.63
2049058.56 14048909.32 10.66
2049063.13 14048879.23 10.73
2049078.12 14048879.00 10.73
2049078.18 14048884.02 10.79
2049058.20 14048884.32 10.83
2049068.05 14048874.18 10.89
2049073.36 14048894.10 10.89
2049068.41 14048899.18 10.89
2049058.66 14048914.31 10.96
2049068.57 14048909.16 11.02
2049058.34 14048894.33 11.09
2049063.72 14048919.23 11.09
2049073.72 14048919.10 11.19
2049068.64 14048914.18 11.22
2049078.51 14048904.00 11.22
2049078.35 14048894.03 11.25
2049078.64 14048914.01 11.29
2049063.49 14048904.23 11.29
2049063.81 14048924.25 11.32
2049068.87 14048929.17 11.32
2049073.49 14048904.10 11.45
2049058.89 14048929.33 11.55
2049063.95 14048934.25 11.58
2049078.71 14048919.03 11.65
2049073.89 14048929.10 11.71
2049078.94 14048934.02 11.94
2049079.10 14048944.00 12.27
2049074.25 14048954.07 12.27
2049079.33 14048959.02 12.30
2049079.50 14048969.00 12.50
2049074.48 14048969.10 12.60
2049079.17 14048949.02 12.70
2049074.41 14048964.08 12.80
2049068.97 14048934.16 12.89
2049101.74 14048788.65 9.19
2049086.91 14048798.89 9.22
2049106.76 14048788.59 9.22
2049096.82 14048793.74 9.42
2049092.00 14048803.81 9.42
2049102.07 14048808.66 9.45
2049106.89 14048798.56 9.48
2049082.35 14048828.94 9.48
2049097.21 14048818.74 9.55
2049101.97 14048803.64 9.58
2049097.05 14048808.73 9.58
2049082.45 14048833.96 9.58
2049087.04 14048808.86 9.61
2049092.13 14048813.81 9.68
2049087.50 14048838.88 9.78
2049107.12 14048813.59 9.78
2049097.51 14048838.72 9.81
2049082.58 14048843.93 9.94
2049102.59 14048843.64 9.94
2049082.81 14048858.96 9.97
2049092.29 14048823.79 10.01
2049102.36 14048828.64 10.01
2049087.37 14048828.87 10.01
2049097.34 14048828.71 10.04
2049087.21 14048818.87 10.07
2049092.59 14048843.80 10.07
2049097.74 14048853.71 10.07
2049092.42 14048833.79 10.07
2049102.95 14048868.64 10.07
2049102.82 14048858.63 10.10
2049102.66 14048848.66 10.17
2049082.74 14048853.94 10.17
2049097.80 14048858.73 10.24
2049103.12 14048878.64 10.33
2049087.67 14048848.89 10.37
2049082.22 14048818.97 10.37
2049087.60 14048843.87 10.40
2049087.96 14048868.87 10.43
2049083.04 14048873.95 10.47
2049088.49 14048903.87 10.50
2049092.52 14048838.78 10.53
2049097.97 14048868.70 10.56
2049087.83 14048858.86 10.56
2049093.11 14048878.81 10.60
2049083.27 14048888.95 10.63
2049093.57 14048908.79 10.63
2049088.42 14048898.85 10.63
2049092.75 14048853.81 10.66
2049093.74 14048918.80 10.73
2049092.88 14048863.78 10.76
2049098.13 14048878.71 10.76
2049093.28 14048888.78 10.76
2049088.19 14048883.86 10.79
2049093.34 14048893.80 10.79
2049103.35 14048893.64 10.83
2049098.20 14048883.73 10.93
2049098.56 14048908.73 10.99
2049093.80 14048923.79 11.09
2049093.51 14048903.78 11.09
2049083.43 14048898.95 11.12
2049092.98 14048868.80 11.12
2049083.66 14048913.95 11.19
2049083.56 14048908.93 11.19
2049103.48 14048903.64 11.25
2049088.72 14048918.87 11.25
2049103.64 14048913.65 11.32
2049098.43 14048898.72 11.38
2049103.87 14048928.64 11.38
2049104.04 14048938.62 11.48
2049094.39 14048963.78 11.55
2049098.79 14048923.72 11.58
2049098.95 14048933.70 11.58
2049098.72 14048918.70 11.65
2049099.18 14048948.72 11.65
2049088.88 14048928.87 11.75
2049099.02 14048938.72 11.78
2049083.86 14048928.94 11.81
2049089.11 14048943.87 11.84
2049084.09 14048943.93 11.88
2049103.81 14048923.62 11.91
2049104.10 14048943.64 11.94
2049094.49 14048968.77 11.94
2049094.16 14048948.79 11.94
2049084.42 14048963.95 12.01
2049099.31 14048958.70 12.11
2049089.34 14048958.86 12.14
2049089.01 14048938.85 12.20
2049084.19 14048948.92 12.30
2049084.25 14048953.94 12.34
2049104.33 14048958.63 12.34
2049089.47 14048968.87 12.34
2049099.41 14048963.72 12.60
2049094.26 14048953.78 12.66
2049089.63 14048978.84 12.70
2049089.70 14048983.86 12.70
2049094.56 14048973.79 12.83
2049094.72 14048983.79 13.12
2049099.64 14048978.71 13.16
2049104.46 14048968.64 13.19
2049099.77 14048988.72 13.22
2049104.79 14048988.62 13.22
2049104.86 14048993.64 13.39
2049104.63 14048978.64 13.68
2049094.85 14048993.77 14.04
2049100.10 14049008.70 14.21
2049099.94 14048998.69 14.27
2049105.15 14049013.62 14.50
2049105.02 14049003.61 14.53
2049094.95 14048998.79 14.57
2049105.25 14049018.64 16.60
2049116.77 14048788.42 8.69
2049121.69 14048783.34 9.19
2049121.75 14048788.36 9.19
2049131.66 14048783.20 9.22
2049131.60 14048778.18 9.25
2049116.67 14048783.43 9.25
2049116.83 14048793.41 9.28
2049111.81 14048793.51 9.32
2049111.98 14048803.51 9.42
2049116.90 14048798.43 9.45
2049107.29 14048823.56 9.51
2049121.92 14048798.36 9.55
2049131.83 14048793.21 9.61
2049107.35 14048828.58 9.61
2049112.14 14048813.49 9.68
2049111.68 14048783.50 9.71
2049132.06 14048808.20 9.71
